city,town,bound_northeast_lat,bound_northeast_lon,bound_southwest_lat,bound_southwest_lon,location_lat,location_lon,location_type
Taichung City,Dali District,24.1249699,120.741504,24.0687643,120.6508064,24.1046899,120.6812114,APPROXIMATE
Yilan County,Su'ao Township,24.6550935,121.8860504,24.4318917,121.7791988,24.594229,121.8533264,APPROXIMATE
Tainan City,Shanhua District,23.176445,120.3462894,23.1048975,120.2549038,23.1402613,120.3089541,APPROXIMATE
Miaoli County,Sanyi Township,24.438124,120.8229572,24.3206318,120.7243425,24.3892633,120.769476,APPROXIMATE
Hsinchu City,Xiangshan District,24.8272887,120.9635184,24.7125478,120.8785096,24.7798216,120.9302603,APPROXIMATE
Hsinchu County,Baoshan Township,24.7805726,121.0697843,24.7040247,120.9354184,24.7427912,120.9991032,APPROXIMATE
Tainan City,Liuying District,23.3062849,120.4248401,23.2304848,120.2804149,23.2806957,120.3550808,APPROXIMATE
Taipei City,Wanhua District,25.0497936,121.5126133,25.0091935,121.4831544,25.0262857,121.4970294,APPROXIMATE
Changhua County,Puyan Township,24.0265311,120.5120864,23.959938,120.4118558,23.9898141,120.447285,APPROXIMATE
Kaohsiung City,Luzhu District,22.9019018,120.306844,22.8166663,120.2133918,22.8494042,120.2628111,APPROXIMATE
Kaohsiung City,Qiaotou District,22.7777195,120.3376538,22.72836,120.2629918,22.7539012,120.3089541,APPROXIMATE
Changhua County,Beidou Township,23.8949102,120.5732233,23.8409853,120.499104,23.869208,120.5336665,APPROXIMATE
Yunlin County,Shuilin Township,23.6336356,120.2777474,23.5043147,120.182528,23.5628088,120.2397336,APPROXIMATE
Tainan City,Qigu District,23.1958608,120.178106,23.0430789,120.0277765,23.1195166,120.1011836,APPROXIMATE
Taipei City,Wenshan District,25.0155059,121.6199979,24.9605084,121.5305452,24.9929212,121.57125,APPROXIMATE
Miaoli County,Tongluo Township,24.5337616,120.8450082,24.388041,120.7511764,24.4481942,120.792458,APPROXIMATE
Chiayi City,East District,23.5183403,120.5093995,23.4434208,120.4325472,23.4853348,120.4760853,APPROXIMATE
Kaohsiung City,Nanzi District,22.7562173,120.3408181,22.6947572,120.2549305,22.7175372,120.3031871,APPROXIMATE
New Taipei City,Shimen District,25.3011502,121.6202815,25.2150094,121.5071473,25.2908277,121.5671383,APPROXIMATE
Miaoli County,Zaoqiao Township,24.6662124,120.9494158,24.5895198,120.8134239,24.6248068,120.8613785,APPROXIMATE
Changhua County,Yongjing Township,23.938456,120.5771804,23.8983357,120.4939475,23.9202279,120.5451797,APPROXIMATE
Nantou County,Guoxing Township,24.1278597,120.9570908,23.892625,120.7797546,24.0564429,120.8728615,APPROXIMATE
New Taipei City,Yonghe District,25.021829,121.5340961,24.9933613,121.4940172,25.0103251,121.5145353,APPROXIMATE
Tainan City,Jiali District,23.2133119,120.2158919,23.1162821,120.1448185,23.1694465,120.1704766,APPROXIMATE
Keelung City,Xinyi District,25.1450183,121.7988746,25.1101283,121.7462227,25.1284336,121.7822278,APPROXIMATE
Hsinchu County,Hukou Township,24.9423796,121.1220396,24.8502828,120.9926562,24.8814458,121.0449768,APPROXIMATE
Miaoli County,Dahu Township,24.457274,120.9196292,24.339233,120.775465,24.3980966,120.8728615,APPROXIMATE
Chiayi County,Zhuqi Township,23.5533393,120.7158199,23.4497071,120.4831592,23.5049724,120.6084832,APPROXIMATE
Chiayi County,Dalin Township,23.6252754,120.5075986,23.5797776,120.4370857,23.6040709,120.4542004,APPROXIMATE
Kaohsiung City,Gushan District,22.6741543,120.3087622,22.6135352,120.2498697,22.6495866,120.2685799,APPROXIMATE
Tainan City,Zuozhen District,23.0868894,120.461466,22.9592791,120.358197,23.0300785,120.4242401,APPROXIMATE
Taichung City,Xinshe District,24.2701089,120.8980891,24.0850016,120.7663903,24.1867194,120.8154358,APPROXIMATE
Kaohsiung City,Qieding District,22.9202457,120.220542,22.8480835,120.1746925,22.8763476,120.2108809,APPROXIMATE
Nantou County,Puli Township,24.0532574,121.0694886,23.9047921,120.8784022,23.9932872,120.9646866,APPROXIMATE
Taichung City,Taiping District,24.1693703,120.8378002,24.0403117,120.6995378,24.1240719,120.7170701,APPROXIMATE
Taoyuan City,Guanyin District,25.0800917,121.1687011,24.9640521,121.0222944,25.0359365,121.1137544,APPROXIMATE
Chiayi County,Fanlu Township,23.498216,120.6826564,23.3397186,120.4951441,23.4407355,120.6084832,APPROXIMATE
Tainan City,Guanmiao District,23.0138142,120.3732646,22.8874908,120.2952302,22.9637053,120.3320195,APPROXIMATE
Miaoli County,Touwu Township,24.5879872,120.8886538,24.5605159,120.8423522,24.5765856,120.8545433,APPROXIMATE
Miaoli County,Toufen Township,24.7032653,120.9721581,24.630135,120.8763,24.6884438,120.9024836,APPROXIMATE
Taipei City,Da'an District,25.0454177,121.5659696,25.0071972,121.5217223,25.0261583,121.5427093,APPROXIMATE
Miaoli County,Tongxiao Township,24.5736684,120.7634302,24.4046835,120.64946,24.485028,120.7234992,APPROXIMATE
Taichung City,Waipu District,24.3625505,120.7194453,24.2991445,120.6090734,24.3317733,120.6533224,APPROXIMATE
Taichung City,Dadu District,24.1769788,120.5885164,24.1082762,120.5126427,24.1358732,120.5624474,APPROXIMATE
Nantou County,Xinyi Township,23.8647835,121.2412328,23.435385,120.8039398,23.6679756,120.9876321,APPROXIMATE
New Taipei City,Taishan District,25.0766842,121.4484287,25.0287832,121.3769834,25.0581641,121.4327919,APPROXIMATE
Taoyuan City,Daxi District,24.9385018,121.3581869,24.8034534,121.2431076,24.8658422,121.2969674,APPROXIMATE
Tainan City,West Central District,23.007536,120.2122595,22.9812766,120.1594634,22.9948212,120.1964522,APPROXIMATE
Keelung City,Zhongzheng District,25.1956281,121.8084506,25.1217659,121.7421542,25.1489988,121.7736823,APPROXIMATE
Yunlin County,Beigang Township,23.6343971,120.3362902,23.5438527,120.2625299,23.5958633,120.2858846,APPROXIMATE
New Taipei City,Banqiao District,25.039807,121.4887543,24.972071,121.4244149,25.0114095,121.4618415,APPROXIMATE
Kaohsiung City,Dashu District,22.7778031,120.4560756,22.6429302,120.3897876,22.708371,120.4242401,APPROXIMATE
Yunlin County,Citong Township,23.8014992,120.5937674,23.7293205,120.4770519,23.7769338,120.5394232,APPROXIMATE
Keelung City,Anle District,25.1760218,121.7363593,25.1115935,121.6775543,25.1474144,121.7024448,APPROXIMATE
Kinmen County,Jinsha Township,24.5295396,118.4733776,24.4471858,118.3779268,24.4811092,118.4279933,APPROXIMATE
New Taipei City,Xindian District,24.9951252,121.6105685,24.8616459,121.4573717,24.978282,121.5394822,APPROXIMATE
Hsinchu City,East District,24.8260951,121.0335449,24.7508903,120.9580438,24.7920604,120.9933678,APPROXIMATE
Keelung City,Zhongshan District,25.1666607,121.7535845,25.1287861,121.7054271,25.152587,121.7252457,APPROXIMATE
New Taipei City,Jinshan District,25.2751261,121.6548197,25.162959,121.5594145,25.2223616,121.6367773,APPROXIMATE
Taichung City,Houli District,24.3558397,120.7675002,24.2806412,120.6463319,24.3088765,120.7223705,APPROXIMATE
Taichung City,Qingshui District,24.3339773,120.6470112,24.2578332,120.4861077,24.301983,120.5854674,APPROXIMATE
Changhua County,Zhutang Township,23.8882329,120.458823,23.81666,120.3655285,23.8448257,120.4242401,APPROXIMATE
Nantou County,Lugu Township,23.8182565,120.8406856,23.6490894,120.7136328,23.7348372,120.7809676,APPROXIMATE
New Taipei City,Pinglin District,24.9854429,121.7940943,24.8388437,121.6446944,24.9350844,121.7107613,APPROXIMATE
Lienchiang County,Dongyin Township,26.3840442,120.5117813,26.3348143,120.2142835,26.3656992,120.4904831,APPROXIMATE
Changhua County,Huatan Township,24.0563378,120.6051021,24.0020105,120.5174241,24.0288453,120.5624474,APPROXIMATE
Taichung City,North District,24.1739834,120.7045623,24.1422531,120.6625957,24.1573171,120.6832556,APPROXIMATE
Nantou County,Caotun Township,24.0201345,120.8414322,23.9448121,120.6360768,23.9933816,120.7234992,APPROXIMATE
Taoyuan City,Zhongli District,25.0285002,121.2668923,24.9250665,121.1514872,24.9721514,121.2053963,APPROXIMATE
New Taipei City,Bali District,25.1735389,121.4620305,25.0798291,121.3663327,25.1443896,121.3983016,APPROXIMATE
Yunlin County,Sihu Township,23.7023866,120.282221,23.5866687,120.1334633,23.6370834,120.1935663,APPROXIMATE
Taipei City,Songshan District,25.0759635,121.5800758,25.0443819,121.5385388,25.0541591,121.5638621,APPROXIMATE
Kaohsiung City,Xiaogang District,22.5878939,120.3988794,22.506603,120.2985406,22.5553185,120.3608455,APPROXIMATE
Kinmen County,Lieyu Township,24.4538172,118.2677283,24.4050401,118.2114561,24.4279737,118.2351192,APPROXIMATE
Kaohsiung City,Hunei District,22.9212293,120.2608676,22.868228,120.1877271,22.8954184,120.2224227,APPROXIMATE
Tainan City,Rende District,22.9965074,120.2751824,22.8939965,120.1920581,22.9401228,120.2397336,APPROXIMATE
