city,town,bound_northeast_lat,bound_northeast_lon,bound_southwest_lat,bound_southwest_lon,location_lat,location_lon,location_type
Tainan City,Xigang District,23.1635501,120.2416306,23.0776339,120.1712648,23.1257853,120.1993381,APPROXIMATE
Pingtung County,Pingtung City,22.7138286,120.5285221,22.6188264,120.4353185,22.6558442,120.4703258,APPROXIMATE
Changhua County,Fangyuan Township,24.0399017,120.4088176,23.8773009,120.2969887,23.9455949,120.3550808,APPROXIMATE
Changhua County,Tianzhong Township,23.895473,120.6278457,23.8187835,120.5517083,23.8525401,120.5854674,APPROXIMATE
Kaohsiung City,Daliao District,22.651702,120.4470915,22.5325472,120.3684637,22.584481,120.4011911,APPROXIMATE
Kaohsiung City,Niaosong District,22.6966319,120.4028616,22.637701,120.3308202,22.6602052,120.3723741,APPROXIMATE
Miaoli County,Xihu Township,24.5814946,120.7921462,24.4872369,120.7244887,24.5387937,120.769476,APPROXIMATE
Changhua County,Yuanlin Township,23.9904417,120.6376326,23.9232616,120.5440136,23.959574,120.5854674,APPROXIMATE
Kaohsiung City,Linyuan District,22.5378817,120.4274678,22.4755962,120.3602872,22.4986756,120.4011911,APPROXIMATE
Yunlin County,Tuku Township,23.7483509,120.4073893,23.6437823,120.3296759,23.6882639,120.3550808,APPROXIMATE
Nantou County,Yuchi Township,23.9332557,120.9949437,23.8098539,120.8655809,23.8753852,120.9187827,APPROXIMATE
New Taipei City,Tucheng District,24.9963796,121.4818401,24.9355805,121.4075519,24.968371,121.438034,APPROXIMATE
Kaohsiung City,Alian District,22.9048883,120.3579627,22.8345596,120.2777049,22.8778606,120.3320195,APPROXIMATE
Taichung City,Dongshi District,24.3257923,120.9059429,24.1586802,120.7480704,24.2599898,120.8272085,APPROXIMATE
Yilan County,Luodong Township,24.7068038,121.8024377,24.6633825,121.7485111,24.675606,121.7708337,APPROXIMATE
Taichung City,South District,24.1355153,120.6854144,24.1044221,120.6434583,24.1208445,120.6624117,APPROXIMATE
Taichung City,Longjing District,24.2902657,120.5979208,24.1702198,120.4607975,24.2102428,120.5163949,APPROXIMATE
Kaohsiung City,Renwu District,22.7421194,120.4032608,22.6689119,120.3148913,22.6947932,120.3608455,APPROXIMATE
Keelung City,Nuannuan District,25.1135315,121.7757137,25.0524664,121.7195434,25.0836163,121.748042,APPROXIMATE
Yunlin County,Baozhong Township,23.7278222,120.3239591,23.6907964,120.2732488,23.6944368,120.3103204,APPROXIMATE
Yunlin County,Dapi Township,23.6795316,120.4744678,23.6074945,120.3665118,23.6519084,120.4242401,APPROXIMATE
Changhua County,Changhua City,24.1139398,120.6258758,24.0377972,120.4997914,24.0716583,120.5624474,APPROXIMATE
Yunlin County,Dounan Township,23.7250256,120.5396281,23.6294677,120.4167814,23.658401,120.4933624,APPROXIMATE
Chiayi County,Xikou Township,23.6342087,120.4560865,23.560115,120.3602499,23.5925564,120.4011911,APPROXIMATE
Pingtung County,Wandan Township,22.630301,120.5231531,22.5249433,120.4334657,22.591522,120.4703258,APPROXIMATE
Changhua County,Puxin Township,23.9826003,120.5658565,23.9293986,120.5073158,23.9482532,120.5394232,APPROXIMATE
Chiayi City,West District,23.509901,120.4532927,23.4395747,120.3891934,23.4803964,120.4242401,APPROXIMATE
New Taipei City,Shulin District,25.0203324,121.4320432,24.9424985,121.3613611,24.9815605,121.4198606,APPROXIMATE
