id,x,y
1,465,439
1,449,449
1,430,457
1,423,458
1,414,462
1,359,473
1,348,477
1,320,483
1,229,513
1,164,539
1,134,553
1,131,553
1,65,583
1,0,615
1,109,563
1,206,522
1,272,498
1,320,483
1,431,457
1,455,446
2,470,441
2,458,453
2,432,471
2,320,529
2,234,580
2,152,634
2,93,676
2,161,628
2,247,572
2,249,572
2,272,557
2,333,522
2,432,471
2,453,457
2,463,449
3,479,442
3,475,442
3,461,460
3,439,481
3,327,570
3,319,578
3,301,592
3,285,607
3,263,625
3,250,638
3,246,640
3,240,647
3,210,673
3,256,633
3,269,620
3,296,598
3,300,593
3,323,575
3,336,563
3,351,552
3,358,545
3,375,533
3,382,526
3,399,514
3,405,508
3,414,502
3,438,482
3,462,459
3,476,442
4,481,443
4,477,447
4,476,450
4,469,459
4,465,466
4,443,494
4,436,501
4,436,502
4,432,505
4,432,506
4,391,551
4,391,552
4,382,560
4,382,561
4,366,578
4,366,579
4,352,594
4,346,602
4,343,604
4,334,614
4,334,615
4,322,628
4,312,641
4,309,643
4,302,651
4,285,673
4,303,650
4,313,640
4,313,639
4,336,613
4,336,612
4,346,602
4,346,601
4,375,569
4,375,568
4,388,555
4,388,554
4,391,552
4,391,551
4,410,531
4,410,530
4,418,522
4,426,512
4,444,493
4,456,478
4,458,474
4,460,473
4,466,465
4,472,455
4,475,452
4,478,446
5,485,444
5,482,449
5,480,456
5,477,460
5,477,462
5,472,471
5,472,473
5,468,479
5,464,488
5,462,490
5,458,499
5,453,506
5,450,513
5,446,518
5,446,520
5,436,535
5,436,537
5,433,540
5,431,545
5,427,550
5,422,560
5,416,568
5,416,570
5,410,578
5,405,588
5,402,591
5,399,598
5,396,601
5,390,613
5,387,616
5,384,623
5,377,633
5,376,637
5,373,640
5,371,645
5,366,651
5,365,655
5,363,657
5,361,662
5,357,667
5,354,673
5,354,676
5,354,674
5,358,666
5,366,654
5,366,652
5,369,649
5,372,642
5,376,637
5,378,632
5,385,622
5,388,615
5,391,612
5,393,607
5,400,597
5,403,590
5,406,587
5,408,582
5,415,572
5,417,567
5,420,564
5,426,552
5,429,549
5,432,542
5,444,524
5,447,517
5,450,514
5,454,505
5,456,503
5,462,491
5,464,489
5,467,481
5,471,476
5,471,474
5,476,465
5,476,463
5,482,452
5,482,450
6,490,443
6,488,444
6,488,446
6,486,449
6,484,457
6,482,460
6,482,464
6,480,466
6,480,469
6,478,472
6,478,474
6,476,476
6,476,479
6,474,482
6,474,484
6,472,487
