"X0","Incidence_Rate","Lab_Confirm_Incidence_rate","X_SD_D_x100","CFR","ID","Country_or_Subregion","Country_sp","Deaths","EW","Iso3166","Confirmed","Epidemiological_Week","Number_of_Records","Population_x_1000","Serotype","Severe_Dengue","Total_of_Dengue_Cases","Type","Year","Week_Cases_Dengue","Week_Range"
0,"109.57","3.19",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,52,28,3,52,1,94,"DEN 2",0,103,"Preliminar",2016,6,"44-52"
0,"1.05","0",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,8,28,0,8,1,95,"DEN",0,1,"Preliminar",2017,1,"0-8"
0,"1.05","0",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,9,28,0,9,1,95,"DEN",0,1,"Preliminar",2017,0,"8-9"
0,"1.05","0",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,10,28,0,10,1,95,"DEN",0,1,"Preliminar",2017,0,"9-10"
0,"1.05","0",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,11,28,0,11,1,95,"DEN",0,1,"Preliminar",2017,0,"10-11"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,12,28,0,12,1,95,"DEN",0,1,"Preliminar",2017,0,"11-12"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,13,28,0,13,1,95,"DEN",0,1,"Preliminar",2017,0,"12-13"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,14,28,0,14,1,95,"DEN",0,1,"Preliminar",2017,0,"13-14"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,15,28,0,15,1,95,"DEN",0,1,"Preliminar",2017,0,"14-15"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,16,28,0,16,1,95,"DEN",0,1,"Preliminar",2017,0,"15-16"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,17,28,0,17,1,95,"DEN",0,1,"Preliminar",2017,0,"16-17"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,18,28,0,18,1,95,"DEN",0,1,"Preliminar",2017,0,"17-18"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,19,28,0,19,1,95,"DEN",0,1,"Preliminar",2017,0,"18-19"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,20,28,0,20,1,95,"DEN",0,1,"Preliminar",2017,0,"19-20"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,21,28,0,21,1,95,"DEN",0,1,"Preliminar",2017,0,"20-21"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,22,28,0,22,1,95,"DEN",0,1,"Preliminar",2017,0,"21-22"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,23,28,0,23,1,95,"DEN",0,1,"Preliminar",2017,0,"22-23"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,24,28,0,24,1,95,"DEN",0,1,"Preliminar",2017,0,"23-24"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,25,28,0,25,1,95,"DEN",0,1,"Preliminar",2017,0,"24-25"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,26,28,0,26,1,95,"DEN",0,1,"Preliminar",2017,0,"25-26"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,27,28,0,27,1,95,"DEN",0,1,"Preliminar",2017,0,"26-27"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,28,28,0,28,1,95,"DEN",0,1,"Preliminar",2017,0,"27-28"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,29,28,0,29,1,95,"DEN",0,1,"Preliminar",2017,0,"28-29"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,30,28,0,30,1,95,"DEN",0,1,"Preliminar",2017,0,"29-30"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,31,28,0,31,1,95,"DEN",0,1,"Preliminar",2017,0,"30-31"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,32,28,0,32,1,95,"DEN",0,1,"Preliminar",2017,0,"31-32"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,33,28,0,33,1,95,"DEN",0,1,"Preliminar",2017,0,"32-33"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,34,28,0,34,1,95,"DEN",0,1,"Preliminar",2017,0,"33-34"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,35,28,0,35,1,95,"DEN",0,1,"Preliminar",2017,0,"34-35"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,36,28,0,36,1,95,"DEN",0,1,"Preliminar",2017,0,"35-36"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,37,28,0,37,1,95,"DEN",0,1,"Preliminar",2017,0,"36-37"
0,"1.05","0.00",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,38,28,0,38,1,95,"DEN",0,1,"Preliminar",2017,0,"37-38"
0,"1.05","0",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,39,28,0,39,1,95,"DEN",0,1,"Preliminar",2017,0,"38-39"
0,"1.05","0",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,40,28,0,40,1,95,"DEN",0,1,"Preliminar",2017,0,"39-40"
0,"1.05","0",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,41,28,0,41,1,95,"DEN",0,1,"Preliminar",2017,0,"40-41"
0,"1.05","0",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,42,28,0,42,1,95,"DEN",0,1,"Preliminar",2017,0,"41-42"
0,"1.05","0",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,43,28,0,43,1,95,"DEN",0,1,"Preliminar",2017,0,"42-43"
0,"1.05","0",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,44,28,0,44,1,95,"DEN",0,1,"Preliminar",2017,0,"43-44"
