"year","including.up.to.week.start","including.up.to.week.end","month","province","cases","total.cases","total.deaths","rate.per.100000","fatality.rate","population"
"2007",2007-12-23,2007-12-29,"January","Phetchabun","10","796","2","79.42","0.25",1002317
"2007",2007-12-23,2007-12-29,"January","Phrae","2","311","0","66.40","0.00",468373
"2007",2007-12-23,2007-12-29,"January","Phayao","0","50","0","10.28","0.00",486219
"2007",2007-12-23,2007-12-29,"January","Mae Hong Son","0","197","0","77.20","0.00",255174
"2007",2007-12-23,2007-12-29,"January","Lamphun","0","392","0","96.66","0.00",405564
"2007",2007-12-23,2007-12-29,"January","Lampang","1","237","1","30.63","0.42",773790
"2007",2007-12-23,2007-12-29,"January","Chiang Mai","1","656","0","39.56","0.00",1658298
"2007",2007-12-23,2007-12-29,"February","Songkhla","107","2305","5","174.95","0.22",1317501
"2007",2007-12-23,2007-12-29,"February","Satun","0","173","1","61.45","0.58",281545
"2007",2007-12-23,2007-12-29,"February","Yala","50","761","0","162.52","0.00",468252
"2007",2007-12-23,2007-12-29,"February","Pattani","69","1084","1","170.51","0.09",635730
"2007",2007-12-23,2007-12-29,"February","Narathiwat","29","1261","3","178.32","0.24",707171
"2007",2007-12-23,2007-12-29,"February","Loei","0","293","0","47.77","0.00",613303
"2007",2007-12-23,2007-12-29,"February","Phuket","10","474","5","157.61","1.05",300737
"2007",2007-12-23,2007-12-29,"February","Phang Nga","11","253","0","103.10","0.00",245394
"2007",2007-12-23,2007-12-29,"February","Krabi","13","663","0","164.37","0.00",403363
"2007",2007-12-23,2007-12-29,"February","Trang","4","256","0","42.14","0.00",607450
"2007",2007-12-23,2007-12-29,"February","Phatthalung","14","575","0","114.24","0.00",503321
"2007",2007-12-23,2007-12-29,"February","Nakhon Si Thammarat","55","1088","3","72.03","0.28",1510460
"2007",2007-12-23,2007-12-29,"February","Surat Thani","54","1164","3","121.16","0.26",960698
"2007",2007-12-23,2007-12-29,"February","Ranong","3","98","1","54.49","1.02",179850
"2007",2007-12-23,2007-12-29,"February","Chumphon","12","1090","0","227.57","0.00",478964
"2007",2007-12-23,2007-12-29,"February","Suphan Buri","9","664","0","78.68","0.00",843904
"2007",2007-12-23,2007-12-29,"February","Yasothon","0","278","0","51.40","0.00",540889
"2007",2007-12-23,2007-12-29,"February","Ubon Ratchathani","19","1011","0","56.70","0.00",1783035
"2007",2007-12-23,2007-12-29,"February","Sisaket","19","1618","3","111.86","0.19",1446484
"2007",2007-12-23,2007-12-29,"February","Amnat Charoen","0","237","0","64.24","0.00",368934
"2007",2007-12-23,2007-12-29,"February","Surin","70","2620","4","190.51","0.15",1375257
"2007",2007-12-23,2007-12-29,"February","Nakhon Ratchasima","23","1346","1","52.67","0.07",2555587
"2007",2007-12-23,2007-12-29,"February","Chaiyaphum","21","741","1","66.21","0.13",1119146
"2007",2007-12-23,2007-12-29,"February","Buriram","6","1685","2","109.65","0.12",1536722
"2007",2007-12-23,2007-12-29,"February","Roi Et","41","2061","1","157.32","0.05",1310047
"2007",2007-12-23,2007-12-29,"February","Maha Sarakham","5","791","0","84.36","0.00",937686
"2007",2007-12-23,2007-12-29,"February","Khon Kaen","16","944","0","53.93","0.00",1750500
"2007",2007-12-23,2007-12-29,"February","Sakon Nakhon","5","669","0","60.32","0.00",1109046
"2007",2007-12-23,2007-12-29,"February","Nakhon Phanom","2","398","0","57.24","0.00",695351
"2007",2007-12-23,2007-12-29,"February","Mukdahan","4","318","0","94.80","0.00",335447
"2007",2007-12-23,2007-12-29,"February","Kalasin","21","1422","1","145.76","0.07",975562
"2007",2007-12-23,2007-12-29,"February","Udon Thani","9","631","1","41.31","0.16",1527562
"2007",2007-12-23,2007-12-29,"February","Nong Khai","3","435","3","48.36","0.69",899580
"2007",2007-12-23,2007-12-29,"February","Nong Bua Lam Phu","0","111","1","22.35","0.90",496692
"2007",2007-12-23,2007-12-29,"February","Nonthaburi","54","2179","1","218.11","0.05",999057
"2007",2007-12-23,2007-12-29,"February","Trat","13","199","1","90.48","0.50",219949
"2007",2007-12-23,2007-12-29,"February","Rayong","18","1278","3","222.73","0.23",573785
"2007",2007-12-23,2007-12-29,"February","Chonburi","0","184","2","15.22","1.09",1209290
"2007",2007-12-23,2007-12-29,"February","Chanthaburi","13","1033","0","205.62","0.00",502389
"2007",2007-12-23,2007-12-29,"February","Nan","2","81","0","16.96","0.00",477662
"2007",2007-12-23,2007-12-29,"February","Chiang Rai","0","819","2","66.82","0.24",1225713
"2007",2007-12-23,2007-12-29,"February","Samut Prakan","54","2591","2","233.92","0.08",1107626
"2007",2007-12-23,2007-12-29,"February","Sa Kaeo","13","479","0","88.98","0.00",538344
"2007",2007-12-23,2007-12-29,"February","Prachinburi","8","738","0","162.62","0.00",453819
"2007",2007-12-23,2007-12-29,"February","Nakhon Nayok","5","395","0","158.00","0.00",250003
"2007",2007-12-23,2007-12-29,"February","Chachoengsao","10","782","5","119.53","0.64",654206
"2007",2007-12-23,2007-12-29,"February","Samut Songkhram","6","382","0","195.91","0.00",194990
"2007",2007-12-23,2007-12-29,"February","Samut Sakhon","57","783","2","169.29","0.26",462510
"2007",2007-12-23,2007-12-29,"February","Prachuap Khiri Khan","2","692","3","139.96","0.43",494416
"2007",2007-12-23,2007-12-29,"February","Phetchaburi","6","383","0","83.87","0.00",456681
"2007",2007-12-23,2007-12-29,"February","Ratchaburi","13","1155","1","139.34","0.09",828930
"2007",2007-12-23,2007-12-29,"February","Nakhon Pathom","29","1235","1","150.26","0.08",821905
"2007",2007-12-23,2007-12-29,"February","Kanchanaburi","18","868","3","104.02","0.35",834447
"2007",2007-12-23,2007-12-29,"February","Sing Buri","4","52","0","23.97","0.00",216969
"2007",2007-12-23,2007-12-29,"February","Saraburi","18","415","1","68.05","0.24",609855
"2007",2007-12-23,2007-12-29,"February","Lopburi","11","523","0","69.48","0.00",752775
"2007",2007-12-23,2007-12-29,"February","Chai Nat","1","233","0","68.73","0.00",339006
"2007",2007-12-23,2007-12-29,"February","Pathum Thani","17","560","0","65.02","0.00",861338
"2007",2007-12-23,2007-12-29,"February","Ang Thong","1","369","1","129.96","0.27",283943
"2007",2007-12-23,2007-12-29,"February","Bangkok","282","6944","10","121.91","0.14",5695956
"2007",2007-12-23,2007-12-29,"February","Uthai Thani","6","273","0","83.49","0.00",326988
"2007",2007-12-23,2007-12-29,"February","Phichit","6","641","0","114.91","0.00",557832
"2007",2007-12-23,2007-12-29,"February","Nakhon Sawan","26","1453","1","135.04","0.07",1076015
"2007",2007-12-23,2007-12-29,"February","Kamphaeng Phet","18","670","1","91.99","0.15",728320
"2007",2007-12-23,2007-12-29,"February","Uttaradit","3","367","0","78.51","0.00",467482
"2007",2007-12-23,2007-12-29,"February","Tak","12","529","1","100.25","0.19",527677
"2007",2007-12-23,2007-12-29,"February","Sukhothai","1","200","0","32.85","0.00",608820
"2007",2007-12-23,2007-12-29,"February","Phitsanulok","4","622","1","73.65","0.16",844508
"2007",2007-12-23,2007-12-29,"February","Phetchabun","2","796","2","79.42","0.25",1002317
"2007",2007-12-23,2007-12-29,"February","Phrae","0","311","0","66.40","0.00",468373
"2007",2007-12-23,2007-12-29,"February","Phayao","0","50","0","10.28","0.00",486219
"2007",2007-12-23,2007-12-29,"February","Mae Hong Son","0","197","0","77.20","0.00",255174
"2007",2007-12-23,2007-12-29,"February","Lamphun","1","392","0","96.66","0.00",405564
"2007",2007-12-23,2007-12-29,"February","Lampang","4","237","1","30.63","0.42",773790
"2007",2007-12-23,2007-12-29,"February","Chiang Mai","3","656","0","39.56","0.00",1658298
"2007",2007-12-23,2007-12-29,"March","Songkhla","110","2305","5","174.95","0.22",1317501
"2007",2007-12-23,2007-12-29,"March","Satun","1","173","1","61.45","0.58",281545
"2007",2007-12-23,2007-12-29,"March","Yala","35","761","0","162.52","0.00",468252
"2007",2007-12-23,2007-12-29,"March","Pattani","80","1084","1","170.51","0.09",635730
"2007",2007-12-23,2007-12-29,"March","Narathiwat","32","1261","3","178.32","0.24",707171
"2007",2007-12-23,2007-12-29,"March","Loei","3","293","0","47.77","0.00",613303
"2007",2007-12-23,2007-12-29,"March","Phuket","16","474","5","157.61","1.05",300737
"2007",2007-12-23,2007-12-29,"March","Phang Nga","13","253","0","103.10","0.00",245394
"2007",2007-12-23,2007-12-29,"March","Krabi","16","663","0","164.37","0.00",403363
"2007",2007-12-23,2007-12-29,"March","Trang","2","256","0","42.14","0.00",607450
"2007",2007-12-23,2007-12-29,"March","Phatthalung","21","575","0","114.24","0.00",503321
"2007",2007-12-23,2007-12-29,"March","Nakhon Si Thammarat","54","1088","3","72.03","0.28",1510460
"2007",2007-12-23,2007-12-29,"March","Surat Thani","48","1164","3","121.16","0.26",960698
"2007",2007-12-23,2007-12-29,"March","Ranong","10","98","1","54.49","1.02",179850
"2007",2007-12-23,2007-12-29,"March","Chumphon","29","1090","0","227.57","0.00",478964
"2007",2007-12-23,2007-12-29,"March","Suphan Buri","26","664","0","78.68","0.00",843904
"2007",2007-12-23,2007-12-29,"March","Yasothon","16","278","0","51.40","0.00",540889
"2007",2007-12-23,2007-12-29,"March","Ubon Ratchathani","68","1011","0","56.70","0.00",1783035
"2007",2007-12-23,2007-12-29,"March","Sisaket","58","1618","3","111.86","0.19",1446484
"2007",2007-12-23,2007-12-29,"March","Amnat Charoen","5","237","0","64.24","0.00",368934
"2007",2007-12-23,2007-12-29,"March","Surin","132","2620","4","190.51","0.15",1375257
"2007",2007-12-23,2007-12-29,"March","Nakhon Ratchasima","24","1346","1","52.67","0.07",2555587
"2007",2007-12-23,2007-12-29,"March","Chaiyaphum","24","741","1","66.21","0.13",1119146
"2007",2007-12-23,2007-12-29,"March","Buriram","27","1685","2","109.65","0.12",1536722
"2007",2007-12-23,2007-12-29,"March","Roi Et","99","2061","1","157.32","0.05",1310047
"2007",2007-12-23,2007-12-29,"March","Maha Sarakham","12","791","0","84.36","0.00",937686
"2007",2007-12-23,2007-12-29,"March","Khon Kaen","38","944","0","53.93","0.00",1750500
"2007",2007-12-23,2007-12-29,"March","Sakon Nakhon","26","669","0","60.32","0.00",1109046
"2007",2007-12-23,2007-12-29,"March","Nakhon Phanom","12","398","0","57.24","0.00",695351
"2007",2007-12-23,2007-12-29,"March","Mukdahan","8","318","0","94.80","0.00",335447
"2007",2007-12-23,2007-12-29,"March","Kalasin","57","1422","1","145.76","0.07",975562
"2007",2007-12-23,2007-12-29,"March","Udon Thani","13","631","1","41.31","0.16",1527562
"2007",2007-12-23,2007-12-29,"March","Nong Khai","6","435","3","48.36","0.69",899580
"2007",2007-12-23,2007-12-29,"March","Nong Bua Lam Phu","6","111","1","22.35","0.90",496692
"2007",2007-12-23,2007-12-29,"March","Nonthaburi","90","2179","1","218.11","0.05",999057
"2007",2007-12-23,2007-12-29,"March","Trat","28","199","1","90.48","0.50",219949
"2007",2007-12-23,2007-12-29,"March","Rayong","10","1278","3","222.73","0.23",573785
"2007",2007-12-23,2007-12-29,"March","Chonburi","7","184","2","15.22","1.09",1209290
"2007",2007-12-23,2007-12-29,"March","Chanthaburi","24","1033","0","205.62","0.00",502389
"2007",2007-12-23,2007-12-29,"March","Nan","1","81","0","16.96","0.00",477662
"2007",2007-12-23,2007-12-29,"March","Chiang Rai","0","819","2","66.82","0.24",1225713
"2007",2007-12-23,2007-12-29,"March","Samut Prakan","96","2591","2","233.92","0.08",1107626
"2007",2007-12-23,2007-12-29,"March","Sa Kaeo","56","479","0","88.98","0.00",538344
"2007",2007-12-23,2007-12-29,"March","Prachinburi","18","738","0","162.62","0.00",453819
"2007",2007-12-23,2007-12-29,"March","Nakhon Nayok","8","395","0","158.00","0.00",250003
"2007",2007-12-23,2007-12-29,"March","Chachoengsao","12","782","5","119.53","0.64",654206
"2007",2007-12-23,2007-12-29,"March","Samut Songkhram","12","382","0","195.91","0.00",194990
"2007",2007-12-23,2007-12-29,"March","Samut Sakhon","47","783","2","169.29","0.26",462510
"2007",2007-12-23,2007-12-29,"March","Prachuap Khiri Khan","12","692","3","139.96","0.43",494416
"2007",2007-12-23,2007-12-29,"March","Phetchaburi","7","383","0","83.87","0.00",456681
"2007",2007-12-23,2007-12-29,"March","Ratchaburi","20","1155","1","139.34","0.09",828930
