"defini","WKENDDATE","X.ILI.CHR","X.ILI.ETR","X.ILI.JMR","X.ILI.KKR","X.ILI.MCR","X.ILI.MSR","X.ILI.NDR","X.ILI.NER","X.ILI.SCR","X.ILI.SER","X.ILI.SUL","X.ILI.UCR","X.ILI.WTR","X.ILI"
"41","10/15/16","0","1.3","10.3","0.4","0.2","5.4","0.7","0","0","0.2","0","0","0","1.73"
"42","10/22/16","0","0.2","11.9","0.5","0","5.5","0","0","0","0","0","0.5","0","1.66"
"43","10/29/16","0","0.1","7.7","0.8","0.1","5.5","0.9","0","0","0","0","0","0","1.34"
"44","11/5/16","0.3","2.2","13.5","1.1","0.4","5.6","0","0","0","0","0","0.2","0","2.39"
"45","11/12/16","0","0.2","11.2","1.1","0.3","6.1","1.3","0","0","0.3","0","0","0.7","2.02"
"46","11/19/16","0","2.3","12","1","0.2","5.8","8.5","0","1.7","0",NA,"0","0.3","3"
"47","11/26/16","0","1.1","11.8","0.9","0.4","6.3","16.4","0","0","1","0","0.3","0","2.92"
"48","12/3/16","0","0.7","13.1","1.6","0.3","5.8","0.6","0.5","0","0.5","0","0","0.6","2.41"
"49","12/10/16","0.2","0.7","11.5","1.2","0.3","5","1.7","0","0","1","0.3","0","0","2.23"
"50","12/17/16","0","0.2","14.3","0.5","0.5","4.6","1.3","0.7","0","0.9",NA,"0","0.3","2.63"
"51","12/24/16","0","1.4","14.5","1.7","0","5.9","0","0","0.8","0.8",NA,"0","0.3","4.02"
"52","12/31/16","0","3.8","0","1.6","0.7","7.1","3.7","0","0.9","0","0","0","0","3.23"
"1","1/7/17","0","0.4","16.6","1.4","0","6.8","1.2","0.6","1.2","0","0","0.4","0","3.57"
"2","1/14/17","0.8","6.3","24.6","2.6","0.9","5.8","2.4","1.8","1.5","1.6",NA,"0","0","5.3"
"3","1/21/17","0.2","7","21.4","2.4","0.5","8.4","1.2","0.5","0","2","0","0","0.4","4.58"
"4","1/28/17","0.4","2.7","23.3","4.6","1.5","7.8","4.5","0.5","0.6","1.2","0.2","0","0","4.35"
"5","2/4/17","0.3","0","24.6","8.6","1.1","9.9","3","1.5","0","3.6","0","0.5","0","5.72"
"6","2/11/17","1.8","6.3","36.4","4.9","4.6","9.5","4.8","2.2","0.4","7.4","0","0.2","0","7.14"
"7","2/18/17","1.5","7.3","38.7","7.9","2.9","8.4","3","1.8","1","4.2","0","0.4","0.6","7.55"
"8","2/25/17","0.9","5.3","0","5.7","7","17.6","2.7","1.4","0","3.1","0","0.2","2.1","5.69"
"9","3/4/17","1.8","3.7","29.3","4","3.4","12.3","1.5","0.5","0.8","0.9","0","0","0.6","5.5"
"10","3/11/17","0","4.9","34.2","2.8","2.7","7","1.9","0","0.4","1.2","0","1.1","0.3","6.02"
"11","3/18/17","0.2","3.8","0","5.6","4.4","6.7","1.7","1.9","1.4","1.8","0","0.2","0","3.1"
"12","3/25/17","1.3","6","0","4.4","2.6","12.4","2.6","1.8","1.5","1","0","0.2","0.9","4.79"
"13","4/1/17","0.3","4.2","0","3.8","1.2","8.8","4.9","0","1.4","1.1","0","0.7","0.3","3.26"
"14","4/8/17","0","6.1","0","2.2","0.6","10.5","1.2","0","0","0.3",NA,"0","0","3.47"
"15","4/15/17","0.2","1.6","0","1.4","2.3","6.7","1.3","0","0","0","0","0.4","0","1.91"
"16","4/22/17","0","0.8","0","1.4","0.8","8.6","0.9","1","0.6","0","0","0","0","1.58"
"17","4/29/17","0","2.3","0","0.7","0.4","6.2","1","0.5","0","0.2","0","0","0","1.56"
"18","5/6/17","0","0.5","0","0.5","0","6.7","0.5","0","0","0","0","0.2","0","1.15"
"19","5/13/17","0","0","0","0.4","0.2","8.1","0.2","0","0.6","0.5","0","0","0","1.26"
"20","5/20/17","0","0.1","0","0","0.2","7.9","0.5","0","0","0.9","0","0","0","1.46"
"21","5/27/17","0","1.6","0","0.5","0","6.1","0","0","0","0","0","0","0","1.62"
"22","6/3/17","0","0.2","0","0.9","0","0","0","0","0","0","0","0","0","0.13"
"23","6/10/17","0","0","0","0.5","0","0","0.7","0","0","0","0","0","0","0.08"
"24","6/17/17","0","1.7","0","0.5","0","0.1","0","0","0","0","0","0","0","0.58"
"25","6/24/17","0","0.1",NA,"1.2","0","0","0","0","0","0","0","0","0","0.11"
"26","7/1/17","0","0",NA,"1","0.2","0","0","0.4","0","0","0","0","0","0.13"
"27","7/8/17","0","0.7",NA,"0.3","0","0","0","0","0","0",NA,"0","0","0.31"
"28","7/15/17","0","0.1",NA,"0","0","0","0","0","0","0",NA,"0","0","0.03"
"29","7/22/17","0","0.8",NA,"0","0","0","0","0","0",NA,"0","0","0","0.31"
"30","7/29/17","0","0.1","0","0.2","0","0.4","0","0","0","0","0","0","0","0.05"
"31","8/5/17","0","0",NA,"0.7","0.2","0","0","0.6","0","0","0","0.2","0","0.14"
"32","8/12/17","0","0",NA,"0.9","0.2","0","0","0","0","0","0","0","0","0.09"
"33","8/19/17","0","0",NA,"0.5","0","0","0","0.3","0","0","0","0","0","0.05"
"34","8/26/17","0","0.1","0","0.6","0.2","0","0.1","0.3","0","0",NA,"0","0","0.13"
"35","9/2/17","0","0.3","0","0.1","0","0","0","0","0","0","0","0","0","0.08"
"36","9/9/17","0","0.4",NA,"0.4","0","0","0.3","0","0","0","0","0.2","0","0.2"
"37","9/16/17","0","0.5",NA,"0.4","0.2","0","0","0.3","0","0","0","0.2","0","0.26"
"38","9/23/17","0.2","0.4",NA,"1","0.1","0","0.4","0.5","0","0","0","0.3","0","0.35"
"39","9/30/17","0","1","0","1.2","0.3","0","0.6","0","0","0","0","0","1.7","0.63"
"40","10/7/17","0","0.7",NA,"0.1","0","0","0.2","0.6","0","0",NA,"0.2","0","0.24"
"41","10/14/17","0","1.4","0","1.5","0","0","0","0","0","0","0","0","0","0.55"
"42","10/21/17","0","1.7",NA,NA,"0","0","0.6","1","0.4","0","0","0","0","0.65"
"43","10/28/17","0.4","0.5","2.1","1.3","0.2","0","0.5","0","0","0","0.0","0","0","0.55"
"44","11/4/17","0.4","2.1","1.5","1.4","0","0","0.2","2.8","1.6","0","0.0","0","0.5","1.01"
"45","11/11/17","0.0","2.3","1.4","1.4","0.5","0.0","0.9","0.4","0.0","0.0","0.0","0.2","0.3","1.05"
"46","11/18/17","0.1","2.7","1.2",NA,"0.4","0.0","0.4","0.0","0.0","0.0","0.0","0.3","0.0","0.98"
