"location","target","score","forecast_week","team","skill"
"US National","3 wk ahead",-0.136646179993945,1,"PSI",0.872278801229602
"US National","4 wk ahead",-3.03559674272219,1,"PSI",0.048045983228439
"US National","Season onset",0,1,"PSI",1
"US National","Season peak percentage",-3.33843397368361,1,"PSI",0.035492496406134
"US National","Season peak week",-0.068047088032596,1,"PSI",0.934216482125324
"HHS Region 1","1 wk ahead",-0.013903614915195,2,"PSI",0.986192593938904
"HHS Region 1","2 wk ahead",-0.055681990989926,2,"PSI",0.945839873671115
"HHS Region 1","3 wk ahead",-0.100472527934818,2,"PSI",0.904409958080807
"HHS Region 1","4 wk ahead",-2.16210587879658,2,"PSI",0.115082515849175
"HHS Region 1","Season onset",0,2,"PSI",1
"HHS Region 1","Season peak percentage",-1.69404437563152,2,"PSI",0.183774764784776
"HHS Region 1","Season peak week",-0.192833588135656,2,"PSI",0.824619189138328
"HHS Region 10","1 wk ahead",-0.847131685519703,2,"PSI",0.428642652289418
"HHS Region 10","2 wk ahead",-0.775692669626211,2,"PSI",0.460384775978486
"HHS Region 10","3 wk ahead",-0.938091144286413,2,"PSI",0.391374199658181
"HHS Region 10","4 wk ahead",-1.30274796431581,2,"PSI",0.271783913435678
"HHS Region 10","Season onset",0,2,"PSI",1
"HHS Region 10","Season peak percentage",-0.156936800150173,2,"PSI",0.854758077692823
"HHS Region 10","Season peak week",-0.051293294387551,2,"PSI",0.95
"HHS Region 2","1 wk ahead",-0.305420863677306,2,"PSI",0.73681321121044
"HHS Region 2","2 wk ahead",-0.323004062480045,2,"PSI",0.723970913244553
"HHS Region 2","3 wk ahead",-0.417893501736049,2,"PSI",0.658432346592871
"HHS Region 2","4 wk ahead",-0.703376416209654,2,"PSI",0.494911452521677
"HHS Region 2","Season onset",0,2,"PSI",1
"HHS Region 2","Season peak percentage",-0.612542726310388,2,"PSI",0.541971031541971
"HHS Region 2","Season peak week",-0.130308823839669,2,"PSI",0.87782429598661
"HHS Region 3","1 wk ahead",-0.378528430282048,2,"PSI",0.684868499773676
"HHS Region 3","2 wk ahead",-0.189317910692819,2,"PSI",0.827523386339487
"HHS Region 3","3 wk ahead",-0.176607821882796,2,"PSI",0.838108407856748
"HHS Region 3","4 wk ahead",-2.94219684265437,2,"PSI",0.052749718525253
"HHS Region 3","Season onset",0,2,"PSI",1
"HHS Region 3","Season peak percentage",-3.10866469415727,2,"PSI",0.044660551036918
"HHS Region 3","Season peak week",-0.044218853884974,2,"PSI",0.956744547297664
"HHS Region 4","1 wk ahead",-0.784966034954493,2,"PSI",0.456135194175165
"HHS Region 4","2 wk ahead",-0.082745722522454,2,"PSI",0.920585201544407
"HHS Region 4","3 wk ahead",-2.76881756176445,2,"PSI",0.062736142515508
