"Área Programática, Regiões Administrativas e Bairros","Pop. Censo 2010","Jan","Fev","Mar","Abr","Mai","Jun","Jul","Ago","Set","Out","Nov","Dez","Total"
"JacaréSão Francisco XavierRocha","8.3438.76612.653","1833","45918","711633","891837","36523","1416","900","201","001","200","122","000","28754124"
"RiachueloSampaioEngenho NovoLins de VasconcelosMéier","10.89542.172 9 27637.48749.828","73151531","910524558","292210185111","432215277110","2812563752","4719613","10426","10216","00211","00102","11232","00323","12377409274395"
"Todos ds SantosCachambiEngenho de DentroÁgua SantaEncantado","24.64642.41545.5408.75615.021","7161919","7304437","226572418","239289717","16302732","3151321","23300","00201","03205","11400","11301","10401","832562822062"
"PiedadeAboliçãoPilares","43.37811.35627.250","17617","252026","552352","553052","17523","6110","343","002","300","100","302","321","18891188"
"XVIII Jacarezinho","37 839","3","11","12","21","14","2","2","0","0","0","0","2","67"
"JacarezinhoÁrea Programática 3.3","37 839 942 638","3330","11884","122.295","212.314","14813","2282","2109","025","030","025","035","235","677.177"
"XIV Irajá","202 952","89","287","907","899","283","73","30","1","1","2","6","8","2.586"
"Vila Kosmos","18.274","8","27","120","138","25","5","4","0","0","0","2","0","329"
"Vicente de CarvalhoVila da Penha","24.96425.465","68","1531","72114","8898","3329","85","03","00","01","02","00","12","223293"
"Vista AlegreIrajá","8.62296.382","348","14163","68457","52465","20154","938","217","10","00","00","02","13","1701.347"
"Colégio","29.245","16","37","76","58","22","8","4","0","0","0","2","1","224"
"XV Madureira","372 555","135","329","763","834","308","107","40","17","14","15","16","20","2.598"
"CampinhoQuintino Bocaiúva","10.15631.185","1212","1829","5635","7831","1620","610","30","33","01","15","03","53","198152"
"CavalcantiEngenheiro LealCascadura","16.1416.11334.456","8118","20131","17686","24363","14141","4014","302","002","001","003","111","002","9113264"
"MadureiraVaz Lobo","50.10615.167","352","579","16255","14346","466","177","41","20","40","01","20","50","477127"
"TuriaçuRocha MirandaHonório Gurgel","17.24644.18821.989","5104","133220","169944","239262","42829","283","076","001","001","000","000","000","63276170"

"Oswaldo CruzBento RibeiroMarechal HermesXXII AnchietaGuadalupeAnchietaParque AnchietaRicardo de AlbuquerqueXXV PavunaCoelho NetoAcariBarros FilhoCosta BarrosPavunaParque ColumbiaÁrea Programática 4.0Xvi JacarepaguaJacarepaguáAnilGardênia AzulCuricicaFreguesia (Jacarepaguá)PechinchaTaquaraTanquePraça SecaVila ValqueireXXXIV Cidade De DeusCidade de DeusXXIV Barra Da TijucaJoáItanhangá","34.04043.70748.061 158 31847.14455.65226.21229.310 208 81332.42327.34714.04928.44297.350 9 202909.368572.030157.32624.17217.71531.18970.51134.709102.12637.85664.14732.27936.51536.515300.82381838.415","11107541628735216615240511389372131539379836723177115212","2338381094348711159284591166097273758252242705522673120461919216021","5965632349210026163917375233618402.5431.6402058685101143873361153731094141862483","661021012281116619323537352232817702.9551.78821065911372011074439731612144441.123272","22394289502041513327151411660584312541819322515671147241414258027","61416382012066491147330147979556126244197224806","3741266002754231307153230412314096221602","22200000701015021112100022031001002","133211001312001002215420022004133400","31174300100001035184201312212001701","0534211093012304135230052629600603","12264002100010035324311134011400300","19728828278334928564851.2102352117710558207.9375.1275912342263395133201.2223409843581321322.6788229"
"Barra da TijucaCamorim","135.9241.970","562","940","30910","38210","544","190","41","40","01","110","20","30","93828"
"Vargem PequenaVargem Grande","27.25014.039","69","118","4763","10880","2124","11","00","00","00","01","01","00","194187"
"Recreio dos Bandeirantes","82.240","28","82","346","468","127","21","9","4","3","4","0","0","1.092"

"Grumari","167","0","0","0","1","1","0","0","0","0","0","0","0","2"
"Área Programática 5.1","671.041","429","1.106","2.587","2.274","748","234","92","41","37","42","47","50","7.687"
"XXXIII RealengoDeodoro","243.00610.842","1405","35214","91034","88531","29018","695","281","80","80","90","90","141","2.722109"
"Vila MilitarCampo dos AfonsosJardim Sulacap","13.1841.36513.062","118","4430","7661","71102","3031","006","002","000","001","000","001","002","2212244"
"Magalhães BastosRealengo","24.430180.123","8117","49251","98704","62682","39199","553","421","17","16","09","17","110","2692.066"
"XVII Bangu","428.035","289","754","1.677","1.389","458","165","64","33","29","33","38","36","4.965"
"Padre Miguel","64.228","64","146","272","250","72","28","15","2","3","2","7","6","867"
"Bangu","243.125","181","503","1.136","922","301","97","32","27","19","21","27","23","3.289"
"Senador Camará","105.515","44","105","269","217","85","40","17","4","7","10","4","7","809"
"Gericino Área Programática 5.2","15.167665.198","0394","0772","02.222","02.549","0624","0144","040","040","013","013","015","09","06.835"
"XVIII Campo Grande","542.084","204","474","1.242","1.649","312","77","19","27","10","12","12","8","4.046"
"Santíssimo","41.458","27","65","161","163","40","11","5","8","1","2","4","2","489"
"Campo GrandeSenador Vasconcelos","328.37030.600","1133","26911","75420","1.00442","20211","433","100","131","80","70","60","41","2.43392"
"Inhoaíba","64.649","32","50","120","154","24","6","1","1","1","1","1","1","392"
"Cosmos","77.007","29","79","187","286","35","14","3","4","0","2","1","0","640"
"XXVI Guaratiba","123.114","190","298","980","900","312","67","21","13","3","1","3","1","2.789"
"GuaratibaBarra de Guaratiba","110.0493.577","9921","20512","60533","60444","24010","557","144","101","30","10","20","00","1.838132"
"Pedra de Guaratiba","9.488","70","81","342","252","62","5","3","2","0","0","1","1","819"
"Área Programática 5.3","368.534","137","329","1.140","947","365","128","40","18","26","20","12","11","3.173"
"XIX Santa Cruz","368.534","137","329","1.140","947","365","128","40","18","26","20","12","11","3.173"
"Paciência","94.626","52","174","337","204","53","29","10","4","4","5","3","4","879"
"Santa Cruz","217.333","78","141","681","627","271","87","28","12","21","14","9","6","1.975"
"Sepetiba","56.575","7","14","122","116","41","12","2","2","1","1","0","1","319"

