"Pitangueiras","11.756","1","0","0","1","0","0","0","0","0","0","0","0","2"
"Praia da Bandeira","5.948","0","0","0","1","0","0","0","0","0","0","0","0","1"
"Cocotá","4.877","0","0","1","0","0","0","0","0","0","0","0","0","1"
"Bancários","12.512","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Freguesia (Ilha do Governador)","19.437","4","4","0","0","0","0","0","0","0","0","0","0","8"
"Jardim Guanabara","32.213","2","1","3","0","0","0","0","0","0","0","0","0","6"
"Jardim Carioca","24.848","4","0","1","3","0","0","0","0","0","0","0","0","8"
"Taua","29.567","1","1","9","0","0","0","0","0","0","0","0","0","11"
"Moneró","6.476","0","2","1","0","0","0","0","0","0","0","0","0","3"
"Portuguesa","23.856","0","1","0","1","0","0","0","0","0","0","0","0","2"
"Galeão","22.971","7","5","9","0","0","0","0","0","0","0","0","0","21"
"Cidade Universitária","1.556","0","0","0","0","0","0","0","0","0","0","0","0","0"

"Higienópolis","15.734","0","1","0","1","0","0","0","0","0","0","0","0","2"
"Jacaré","9.276","1","0","0","1","0","0","0","0","0","0","0","0","2"
"Maria da Graça","7.972","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Del Castilho","15.610","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Inhaúma","45.698","3","2","0","4","0","0","0","0","0","0","0","0","9"
"Engenho da Rainha","26.659","0","0","0","2","0","0","0","0","0","0","0","0","2"
"Tomas Coelho","22.676","0","0","0","1","0","0","0","0","0","0","0","0","1"
"XIII - Méier","388.506","14","5","10","11","0","0","0","0","0","0","0","0","40"
"São Francisco Xavier","8.343","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rocha","8.766","0","1","0","0","0","0","0","0","0","0","0","0","1"
"Riachuelo","12.653","0","0","0","1","0","0","0","0","0","0","0","0","1"
"Sampaio","10.895","2","0","0","1","0","0","0","0","0","0","0","0","3"
"Engenho Novo","42.172","6","0","4","4","0","0","0","0","0","0","0","0","14"
"Lins de Vasconcelos","37.487","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Méier","49.828","2","3","3","0","0","0","0","0","0","0","0","0","8"
"Todos os Santos","24.646","0","0","1","0","0","0","0","0","0","0","0","0","1"
"Cachambi","42.415","2","1","1","0","0","0","0","0","0","0","0","0","4"
"Engenho de Dentro","45.540","1","0","0","2","0","0","0","0","0","0","0","0","3"
"Água Santa","8.756","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Encantado","15.021","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Piedade","43.378","0","0","0","1","0","0","0","0","0","0","0","0","1"
"Abolição","11.356","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pilares","27.250","0","0","1","2","0","0","0","0","0","0","0","0","3"
"XXVIII - Jacarezinho","37.839","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Jacarezinho","37.839","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Área Programática 3.3","942.638","19","19","24","54","0","0","0","0","0","0","0","0","116"
"XIV - Irajá","202.952","7","2","7","30","0","0","0","0","0","0","0","0","46"
"Vila Kosmos","18.274","1","2","0","6","0","0","0","0","0","0","0","0","9"
"Vicente de Carvalho","24.964","1","0","2","0","0","0","0","0","0","0","0","0","3"
"Vila da Penha","25.465","2","0","0","4","0","0","0","0","0","0","0","0","6"
"Vista Alegre","8.622","1","0","0","1","0","0","0","0","0","0","0","0","2"
"Irajá","96.382","0","0","3","17","0","0","0","0","0","0","0","0","20"
"Colégio","29.245","2","0","2","2","0","0","0","0","0","0","0","0","6"
"XV - Madureira","372.555","5","4","14","15","0","0","0","0","0","0","0","0","38"
"Campinho","10.156","0","0","1","3","0","0","0","0","0","0","0","0","4"
"Quintino Bocaiuva","31.185","0","0","0","1","0","0","0","0","0","0","0","0","1"
"Cavalcante","16.141","1","1","1","0","0","0","0","0","0","0","0","0","3"
"Engenheiro Leal","6.113","0","1","3","1","0","0","0","0","0","0","0","0","5"
"Cascadura","34.456","1","0","1","0","0","0","0","0","0","0","0","0","2"
"Madureira","50.106","1","0","2","3","0","0","0","0","0","0","0","0","6"
"Vaz Lobo","15.167","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Turiaçu","17.246","0","0","2","0","0","0","0","0","0","0","0","0","2"
"Rocha Miranda","44.188","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Honório Gurgel","21.989","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Oswaldo Cruz","34.040","0","0","4","3","0","0","0","0","0","0","0","0","7"
"Bento Ribeiro","43.707","1","1","0","1","0","0","0","0","0","0","0","0","3"
"Marechal Hermes","48.061","0","1","0","3","0","0","0","0","0","0","0","0","4"
"XXII - Anchieta","158.318","1","4","1","4","0","0","0","0","0","0","0","0","10"
"Guadalupe","47.144","0","1","0","1","0","0","0","0","0","0","0","0","2"
"Anchieta","55.652","0","2","1","1","0","0","0","0","0","0","0","0","4"
"Parque Anchieta","26.212","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Ricardo de Albuquerque","29.310","0","1","0","2","0","0","0","0","0","0","0","0","3"
"XXV - Pavuna","208.813","6","9","2","5","0","0","0","0","0","0","0","0","22"
"Coelho Neto","32.423","0","0","1","0","0","0","0","0","0","0","0","0","1"
"Acari","27.347","0","1","0","2","0","0","0","0","0","0","0","0","3"
"Barros Filho","14.049","2","1","0","2","0","0","0","0","0","0","0","0","5"
"Costa Barros","28.442","3","2","0","0","0","0","0","0","0","0","0","0","5"
"Pavuna","97.350","1","5","1","1","0","0","0","0","0","0","0","0","8"
"Parque Columbia","9.202","0","0","0","0","0","0","0","0","0","0","0","0","0"

"Deodoro","10.842","0","1","0","0","0","0","0","0","0","0","0","0","1"
"Vila Militar","13.184","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Campo dos Afonsos","1.365","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jardim Sulacap","13.062","0","0","1","0","0","0","0","0","0","0","0","0","1"
"Magalhães Bastos","24.430","0","0","1","1","0","0","0","0","0","0","0","0","2"
"Realengo","180.123","9","12","8","15","0","0","0","0","0","0","0","0","44"
"XVII - Bangu","428.035","43","21","31","30","1","0","0","0","0","0","0","0","126"
"Padre Miguel","64.228","3","1","3","6","0","0","0","0","0","0","0","0","13"
"Bangu","243.125","17","15","18","20","1","0","0","0","0","0","0","0","71"
"Senador Camará","105.515","23","5","10","4","0","0","0","0","0","0","0","0","42"
"Gericinó","15.167","0","0","0","0","0","0","0","0","0","0","0","0","0"

