"ÁreaProgramática,Regiões","","População","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICA","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Total"
"AdministrativaseBairros","","Censo2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XXIPaquetá","","3361","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Paquetá","","3361","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"XXIIISantaTeresa","","40926","0","1","2","2","2","2","1","1","0","0","0","3","1","1","1","3","2","2","1","2","0","1","1","1","0","0","0","2","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","35"
"SantaTeresa","","40926","0","1","2","2","2","2","1","1","0","0","0","3","1","1","1","3","2","2","1","2","0","1","1","1","0","0","0","2","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","35"
"ÁreaProgramática2.1","","638050","13","11","13","13","14","15","15","8","11","8","9","14","12","10","7","7","10","4","6","0","2","3","1","1","2","3","3","3","5","3","2","1","3","4","3","1","2","3","1","2","3","0","0","0","0","0","0","0","0","0","0","0","251"
"IVBotafogo","","239729","3","3","2","2","3","5","3","1","3","5","4","4","4","3","2","2","4","1","2","0","0","1","0","1","1","0","1","1","2","0","2","1","1","1","2","0","1","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","76"
"Flamengo","","50043","2","0","0","0","0","0","0","0","1","1","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11"
"Glória","","9661","0","1","0","0","0","1","1","0","1","1","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"Laranjeiras","","45554","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Catete","","24057","0","0","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"CosmeVelho","","7178","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Botafogo","","82890","1","2","2","1","0","2","2","0","0","1","0","1","0","2","1","2","4","0","0","0","0","0","0","1","1","0","1","0","1","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","30"
