"Predicted Shock Arrival Time","Difference (hrs)","Confidence (%)","Submitted On","Lead Time (hrs)","Predicted Geomagnetic Storm Parameter(s)","Method","Submitted By",,CME,Observed Geomagnetic Storm Parameters
"2014-10-13T18:00Z","----","----","2014-10-10T19:55Z","70.08","----","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail",2014-10-10T160000-CME-001,----
"2014-10-13T18:00Z","----","----","---","---","----"," Average of all Methods ","Auto Generated (CCMC)"," Detail",2014-10-10T160000-CME-001,----
