"Predicted Shock Arrival Time","Difference (hrs)","Confidence (%)","Submitted On","Lead Time (hrs)","Predicted Geomagnetic Storm Parameter(s)","Method","Submitted By",,CME,Observed Geomagnetic Storm Parameters
"2014-09-30T18:00Z","----","69.0","2014-09-28T04:45Z","61.25","Dst min. in nT: -31 Dst min. time: 2014-09-30T22:00Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail",2014-09-28T025800-CME-001,----
"2014-09-30T18:00Z","----","69.0","---","---","----"," Average of all Methods ","Auto Generated (CCMC)"," Detail",2014-09-28T025800-CME-001,----
