"Year","Planning.Area","Administrative.Region","Neighborhood","Population","Week","Cases"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","33","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","34","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","35","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","36","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","37","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","38","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","39","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","40","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","41","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","42","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","43","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","44","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","45","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","46","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","47","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","48","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","49","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","50","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","51","0"
"2016","Planning Area 1.0","I Portuária","Gamboa","13108","52","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","1","2"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","2","1"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","3","1"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","4","0"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","5","2"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","6","2"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","7","4"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","8","7"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","9","4"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","10","5"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","11","10"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","12","4"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","13","2"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","14","19"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","15","5"
"2016","Planning Area 1.0","I Portuária","Santo Cristo","12330","16","8"
