"X0","Incidence_Rate","Lab_Confirm_Incidence_rate","X_SD_D_x100","CFR","ID","Country_or_Subregion","Country_sp","Deaths","EW","Iso3166","Confirmed","Epidemiological_Week","Number_of_Records","Population_x_1000","Serotype","Severe_Dengue","Total_of_Dengue_Cases","Type","Year","Week_Cases_Dengue","Week_Range"
0,"17.39",6.52,0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,48,28,6,"28",1,92,"DEN",0,16,"Preliminar",2015
0,"2.32",0.26,0,0,6,"Bahamas","Bahamas",0,48,44,1,"30",1,388,"DEN",0,9,"Preliminar",2015
0,"33.33",5.5,0,0,6,"Barbados","Barbados",0,48,52,16,"32",1,291,"DEN 1",0,97,"Preliminar",2015
0,"80.46",31.61,0,0,2,"Belize","Belice",0,48,84,110,"32",1,348,"DEN 2",0,280,"Preliminar",2015
0,"312.12",312.12,0.970873786,0,6,"Virgin Islands (UK)","Islas Vírgenes (RU)",0,48,92,103,"40",1,33,"DEN",1,103,"Preliminar",2015
0,"",NA,NA,NA,1,"Canada","Canadá",0,48,124,0,"48",1,0,"  ",0,0,"Preliminar",2015
0,"291.40",0,0.041163557,0,2,"Costa Rica","Costa Rica",0,48,188,0,"48",1,5002,"DEN 1,2,3",6,14576,"Final",2015
0,"33.78",2.7,0,0,6,"Dominica","Dominica",0,48,212,2,"24",1,74,"DEN",0,25,"Preliminar",2015
0,"750.12",166.78,0.742692364,0.01,2,"El Salvador","El Salvador",5,48,222,10717,"48",1,6426,"DEN 1,2,3",358,48203,"Preliminar",2015
0,"9.91",9.91,0,0,6,"Grenada","Granada",0,48,308,11,"32",1,111,"DEN",0,11,"Preliminar",2015
0,"98.42",7.55,0.243780473,0.056,2,"Guatemala","Guatemala",9,48,320,1228,"48",1,16255,"DEN 1,2,3,4",39,15998,"Preliminar",2015
0,"17.57",17.57,0,0,6,"Guyana","Guyana",0,48,328,142,"24",1,808,"DEN",0,142,"Preliminar",2015
0,"0.53",0,0,0,6,"Haiti","Haití",0,48,332,0,"22",1,10604,"DEN 1,2,3,4",0,56,"Preliminar",2015
0,"506.65",0,2.825679475,0.012,2,"Honduras","Honduras",5,48,340,0,"48",1,8424,"DEN",1206,42680,"Preliminar",2015
0,"2.35",0.25,0,0,6,"Jamaica","Jamaica",0,48,388,7,"48",1,2813,"DEN 4",0,66,"Preliminar",2015
0,"169.08",19.65,2.312589136,0.016,2,"Mexico","México",33,48,484,24605,"48",1,125236,"DEN 1,2,3,4",4897,211754,"Preliminar",2015
0,"0.00",0,NA,NA,6,"Montserrat","Montserrat",0,48,500,0,"32",1,5,"  ",0,0,"Preliminar",2015
0,"",NA,NA,NA,6,"Aruba","Aruba",NA,48,533,NA,"-",1,112,"  ",NA,NA,"Preliminar",2015
0,"715.77",60.14,0.020095566,0.02,2,"Nicaragua","Nicaragua",9,48,558,3763,"48",1,6257,"DEN 2,3",9,44786,"Preliminar",2015
0,"55.62",42.83,0.135256988,0.045,2,"Panama","Panamá",1,48,591,1708,"45",1,3988,"DEN 1,2,3",3,2218,"Preliminar",2015
0,"48.40",1.2,0,0,5,"Puerto Rico","Puerto Rico",0,48,630,44,"48",1,3680,"DEN 1,2,3,4",0,1781,"Preliminar",2015
0,"88.89",88.89,0,0,6,"Saint Barthelemy","San Bartolomé",0,48,652,8,"37",1,9,"DEN",0,8,"Preliminar",2015
0,"9.62",1.92,0,0,6,"Saint Kitts and Nevis","Saint Kitts y Nevis",0,48,659,1,"24",1,52,"DEN",0,5,"Preliminar",2015
0,"50.00",12.5,0,0,6,"Anguilla","Anguila",0,48,660,2,"28",1,16,"DEN",0,8,"Preliminar",2015
0,"7.93",5.49,0,0,6,"Saint Lucia","Santa Lucía",0,48,662,9,"32",1,164,"DEN 1",0,13,"Preliminar",2015
0,"0.97",0.97,0,0,6,"Saint Vincent and the Grenadines","San Vicente y las Granadinas",0,48,670,1,"28",1,103,"DEN",0,1,"Preliminar",2015
0,"0.36",0.36,0,0,6,"Suriname","Suriname",0,48,740,2,"21",1,548,"DEN",0,2,"Preliminar",2015
0,"2.08",0.07,0,0,6,"Trinidad and Tobago","Trinidad y Tobago",0,48,780,1,"4",1,1347,"DEN 1",0,28,"Preliminar",2015
0,"192.00",192,0,0,6,"Turks and Caicos Islands","Islas Turcas y Caicos",0,48,796,96,"24",1,50,"DEN",0,96,"Preliminar",2015
0,"0.17",0.17,0,0,1,"United States of America","Estados Unidos de América",0,48,840,564,"48",1,325128,"DEN",0,564,"Preliminar",2015
0,"2.88",2.88,0,0,6,"Virgin Islands (US)","Islas Vírgenes (EUA)",0,48,850,3,"48",1,104,"DEN",0,3,"final",2015
0,"246.34",148.78,0,0,6,"Saint Martin","Isla de San Martín (Francia)",0,48,663,61,"37",1,41,"DEN",0,101,"Preliminar",2015
0,"0.00",0,NA,NA,6,"Bermuda","Bermuda",0,48,60,0,"32",1,70,"  ",0,0,"Preliminar",2015
0,"359.92",118.7,0,0,6,"French Guiana","Guayana Francesa",0,48,254,311,"37",1,262,"DEN 1,2,4",0,943,"Preliminar",2015
0,"7.45",2.98,0,0,6,"Guadeloupe","Guadalupe",0,48,312,14,"37",1,470,"DEN",0,35,"Preliminar",2015
0,"7.39",1.97,0,0,6,"Martinique","Martinica",0,48,474,8,"37",1,406,"DEN",0,30,"Preliminar",2015
0,"8.36",0.82,0,0,4,"Argentina","Argentina",0,48,32,346,"48",1,42155,"DEN 1,4",0,3523,"Preliminar",2015
