"Predicted Shock Arrival Time","Difference (hrs)","Confidence (%)","Submitted On","Lead Time (hrs)","Predicted Geomagnetic Storm Parameter(s)","Method","Submitted By"
"2013-05-25T12:00Z(-7.0h, +7.0h)","18.42","----","2013-05-22T19:18Z","46.28","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-05-24T09:00Z","-8.58","----","2013-05-22T21:43Z","43.87","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-05-24T20:11Z","2.60","----","---","---","Max Kp Range: 4.33333 - 5.665"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-05-19T12:00Z","-10.33","----","2013-05-17T13:07Z","57.22","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2013-05-19T11:59Z(-7.0h, +7.0h)","-10.35","----","2013-05-17T17:03Z","53.28","Max Kp Range: 5.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-05-19T15:37Z(-7.0h, +7.0h)","-6.72","----","2013-05-17T23:45Z","46.58","Max Kp Range: 5.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-05-19T20:00Z","-2.33","----","2013-05-17T23:52Z","46.47","Dst min. in nT: -33 Dst min. time: 2013-05-20T07:00Z ","Anemomilos ","Leila Mays (GSFC)"," Detail"
"2013-05-19T14:00Z","-8.33","----","2013-05-18T00:30Z","45.83","Max Kp Range: 5.0 - 6.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-05-18T20:55Z(-10.0h, +10.0h)","-25.42","----","2013-05-18T07:51Z","38.48","----"," STOA ","Leila Mays (GSFC)"," Detail"
"2013-05-19T11:45Z","-10.58","----","---","---","Max Kp Range: 5.0 - 6.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-10-28T06:00Z","-25.17","----","2013-10-25T21:15Z","81.92","----","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-10-26T23:53Z(-10.0h, +10.0h)","-55.28","----","2013-10-26T00:21Z","78.82","----"," STOA ","Leila Mays (GSFC)"," Detail"
"2013-10-28T00:00Z","-31.17","----","2013-10-26T13:46Z","65.40","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2013-10-28T04:00Z(-7.0h, +7.0h)","-27.17","----","2013-10-27T00:18Z","54.87","----"," WSA-ENLIL + Cone ","RWC Jeju (KSWC)"," Detail"
"2013-10-27T20:28Z","-34.70","----","---","---","----"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-04-13T00:40Z","-21.53","----","2013-04-11T09:42Z","60.50","----"," ESA ","Leila Mays (GSFC)"," Detail"
"2013-04-13T06:00Z","-16.20","----","2013-04-11T11:30Z","58.70","Max Kp Range: -- - 7.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2013-04-13T20:00Z","-2.20","----","2013-04-11T13:38Z","56.57","Max Kp Range: 5.0 - 6.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-04-13T05:57Z(-7.0h, +7.0h)","-16.25","----","2013-04-11T16:00Z","54.20","Max Kp Range: 6.0 - 8.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-04-12T10:00Z","-36.20","----","2013-04-11T16:20Z","53.87","Dst min. in nT: -143 Dst min. time: 2013-04-12T20:00Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail"
"2013-04-14T02:40Z(-2.0h, +2.0h)","4.47","----","2013-04-11T16:22Z","53.83","----","DBM ","Leila Mays (GSFC)"," Detail"
"2013-04-12T21:29Z","-24.72","----","2013-04-11T20:18Z","49.90","----"," STOA ","Leila Mays (GSFC)"," Detail"
"2013-04-14T03:00Z","4.80","----","2013-04-12T15:47Z","30.42","Max Kp Range: -- - 7.33Dst min. time: 2013-04-14T09:00Z ","BHV ","Leila Mays (GSFC)"," Detail"
"2013-04-13T01:00Z","-21.20","----","2013-04-12T18:26Z","27.77","Dst min. in nT: -151 Dst min. time: 2013-04-13T11:00Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail"
"2013-04-14T00:00Z","1.80","----","2013-04-13T04:31Z","17.68","----"," HAFv2w ","Leila Mays (GSFC)"," Detail"
"2013-04-13T10:00Z","-12.20","----","2013-04-13T08:28Z","13.73","Dst min. in nT: -139 Dst min. time: 2013-04-13T22:00Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail"
"2013-04-13T22:00Z","-0.20","----","2013-04-13T18:35Z","3.62","Dst min. in nT: -148 Dst min. time: 2013-04-14T08:00Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail"
"2013-04-13T10:33Z","-11.65","----","---","---","Max Kp Range: 5.5 - 7.0825"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-03-16T20:00Z","-9.47","----","2013-03-15T11:43Z","41.75","Max Kp Range: 5.0 - 6.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-03-17T01:00Z","-4.47","----","2013-03-15T13:00Z","40.47","Dst min. in nT: -139 Dst min. time: 2013-03-17T11:00Z ","Anemomilos ","Leila Mays (GSFC)"," Detail"
"2013-03-18T13:00Z","31.53","----","2013-03-15T13:19Z","40.15","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2013-03-16T16:59Z(-7.0h, +7.0h)","-12.48","----","2013-03-15T14:04Z","39.40","Max Kp Range: 6.0 - 8.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-03-17T00:00Z","-5.47","----","2013-03-15T23:30Z","29.97","----","Other (ips.gov.au) ","Leila Mays (GSFC)"," Detail"
"2013-03-17T00:00Z","-5.47","----","2013-03-16T00:39Z","28.82","----"," H3DMHD (HAFv.3+3DMHD) ","Leila Mays (GSFC)"," Detail"
"2013-03-17T09:00Z","3.53","----","2013-03-16T01:26Z","28.03","----"," ESA ","Leila Mays (GSFC)"," Detail"
"2013-03-17T10:46Z","5.30","----","2013-03-16T10:41Z","18.78","----","DBM ","Leila Mays (GSFC)"," Detail"
"2013-03-17T15:00Z","9.53","----","2013-03-16T12:29Z","16.98","Max Kp Range: -- - 7.0","BHV ","Leila Mays (GSFC)"," Detail"
"2013-03-17T06:51Z","1.38","----","---","---","Max Kp Range: 5.5 - 7.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-10-26T05:00Z(-7.0h, +7.0h)","-47.67","----","2013-10-24T15:12Z","85.47","Max Kp Range: 5.0 - 7.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-10-26T16:03Z(-7.0h, +7.0h)","-36.62","----","2013-10-24T18:55Z","81.75","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-10-28T16:00Z","11.33","----","2013-10-25T01:16Z","75.40","----","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-10-27T00:00Z(-7.0h, +7.0h)","-28.67","----","2013-10-26T01:28Z","51.20","----"," WSA-ENLIL + Cone ","RWC Jeju (KSWC)"," Detail"
"2013-10-27T03:15Z","-25.42","----","---","---","Max Kp Range: 4.0 - 6.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-10-27T00:00Z","----","----","2013-10-23T17:11Z","78.82","----","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-10-26T02:30Z(-7.0h, +7.0h)","----","----","2013-10-23T19:51Z","54.65","Max Kp Range: 4.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-10-27T00:00Z","----","----","2013-10-24T13:08Z","58.87","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2013-10-26T03:12Z(-10.0h, +10.0h)","----","----","2013-10-24T17:58Z","33.23","----"," STOA ","Leila Mays (GSFC)"," Detail"
"2013-10-26T16:00Z","----","----","2013-10-25T01:16Z","38.73","Max Kp Range: -- - 3.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-10-25T15:00Z(-4.0h, +4.0h)","----","----","2013-10-25T07:09Z","7.85","----","DBM ","Manuela Temmer (UNIGRAZ)"," Detail"
"2013-10-26T10:07Z","----","----","---","---","Max Kp Range: 4.0 - 4.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-10-25T12:00Z","----","----","2013-10-22T13:15Z","70.75","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-10-25T09:51Z(-7.0h, +7.0h)","----","----","2013-10-22T13:37Z","68.23","Max Kp Range: 3.0 - 4.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-10-25T08:19Z(-10.3h, +10.9h)","----","----","2013-10-22T16:04Z","64.25","Max Kp Range: 2.0 - 5.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-10-24T18:00Z","----","----","2013-10-23T13:29Z","28.52","Max Kp Range: -- - 5.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2013-10-25T06:02Z","----","----","---","---","Max Kp Range: 2.5 - 4.75"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-10-02T14:39Z(-7.0h, +7.0h)","13.32","----","2013-09-30T03:32Z","45.80","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-10-03T00:00Z(-6.0h, +6.0h)","22.67","----","2013-09-30T12:59Z","36.35","Max Kp Range: -- - 5.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2013-10-02T19:00Z","17.67","----","2013-09-30T15:05Z","34.25","Max Kp Range: -- - 6.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-10-02T21:00Z(-7.0h, +7.0h)","19.67","----","2013-10-01T01:39Z","23.68","----"," WSA-ENLIL + Cone ","RWC Jeju (KSWC)"," Detail"
"2013-10-02T04:42Z(-10.9h, +9.4h)","3.37","----","2013-10-01T17:33Z","7.78","Max Kp Range: 3.0 - 6.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-10-02T06:15Z(-10.0h, +10.0h)","4.92","----","2013-10-01T20:16Z","5.07","----"," STOA ","Leila Mays (GSFC)"," Detail"
"2013-10-02T14:56Z","13.60","----","---","---","Max Kp Range: 3.0 - 5.5"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-09-23T00:00Z","----","----","2013-09-19T15:37Z","80.38","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2013-09-23T07:00Z","----","----","2013-09-19T17:05Z","85.92","----","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-09-24T05:21Z","----","----","2013-09-19T19:16Z","106.08","----","DBM ","Leila Mays (GSFC)"," Detail"
"2013-09-23T08:00Z(-7.0h, +7.0h)","----","----","2013-09-20T15:41Z","64.32","----","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-09-23T11:05Z","----","----","---","---","----"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-08-31T21:00Z","-28.50","----","2013-08-30T12:55Z","60.58","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2013-09-01T09:19Z(-7.0h, +7.0h)","-16.18","----","2013-08-30T14:15Z","59.25","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-09-01T03:00Z","-22.50","----","2013-08-30T15:21Z","58.15","Max Kp Range: 5.0 - --","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-08-31T17:59Z(-10.0h, +10.0h)","-31.52","----","2013-08-30T19:12Z","54.30","----"," STOA ","Leila Mays (GSFC)"," Detail"
"2013-09-01T00:49Z","-24.68","----","---","---","Max Kp Range: 4.0 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2013-09-01T06:00Z(-7.0h, +7.0h)","----","----","2013-08-29T15:10Z","62.83","----","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-09-02T20:00Z","----","----","2013-08-30T12:55Z","79.08","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2013-09-02T01:00Z","----","----","---","---","----"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-12-22T05:00Z(-6.0h, +6.0h)","-9.47","----","2014-12-20T00:22Z","62.10","----","WSA-ENLIL + Cone (KSWC) ","RWC Jeju (KSWC)"," Detail"
"2014-12-23T06:00Z(-7.0h, +7.0h)","15.53","20.0","2014-12-20T21:42Z","40.77","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-12-22T10:00Z","-4.47","----","2014-12-21T12:11Z","26.28","Max Kp Range: -- - 6.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
