"Predicted Shock Arrival Time","Difference (hrs)","Confidence (%)","Submitted On","Lead Time (hrs)","Predicted Geomagnetic Storm Parameter(s)","Method","Submitted By"
"2014-08-26T03:59Z","-20.02","100.0","---","---","Max Kp Range: 3.0 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-08-19T00:00Z","-5.97","----","2014-08-16T01:17Z","76.68","----","WSA-ENLIL + Cone (KSWC) ","RWC Jeju (KSWC)"," Detail"
"2014-08-18T08:30Z(-7.0h, +7.0h)","-21.47","----","2014-08-16T03:52Z","74.10","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-08-19T12:00Z","6.03","----","2014-08-16T12:30Z","65.47","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-08-19T18:00Z(-6.0h, +6.0h)","12.03","----","2014-08-16T13:20Z","64.63","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-08-18T07:36Z(-11.3h, +11.3h)","-22.37","75.0","2014-08-17T15:02Z","38.93","Max Kp Range: 3.0 - 8.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-08-18T23:37Z","-6.35","75.0","---","---","Max Kp Range: 3.5 - 6.33333"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-08-04T05:00Z","----","----","2014-08-02T02:00Z","51.00","----","WSA-ENLIL + Cone (KSWC) ","RWC Jeju (KSWC)"," Detail"
"2014-08-04T15:00Z","----","----","2014-08-02T12:35Z","50.42","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-08-04T10:00Z","----","----","---","---","----"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-08-03T20:30Z(-6.0h, +6.0h)","----","----","2014-08-01T19:10Z","49.33","----","DBM ","Manuela Temmer (UNIGRAZ)"," Detail"
"2014-08-03T20:30Z","----","----","---","---","----"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-08-02T04:28Z(-7.0h, +7.0h)","----","----","2014-07-30T17:43Z","58.75","Max Kp Range: 2.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-08-02T12:00Z(-12.0h, +12.0h)","----","----","2014-07-30T18:36Z","65.40","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-08-01T14:34Z(-10.3h, +17.0h)","----","75.0","2014-07-30T21:00Z","41.57","Max Kp Range: 2.0 - 6.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-08-02T18:00Z","----","----","2014-07-31T00:30Z","65.50","Max Kp Range: -- - 4.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-08-02T03:00Z","----","----","2014-08-01T00:46Z","26.23","----","WSA-ENLIL + Cone (KSWC) ","RWC Jeju (KSWC)"," Detail"
"2014-08-01T22:00Z","----","----","2014-08-01T13:54Z","8.10","----"," Expansion Speed Prediction Model ","Alisson Dallago (INPE)"," Detail"
"2014-08-02T04:20Z","----","75.0","---","---","Max Kp Range: 2.0 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-12-20T08:00Z(-7.0h, +7.0h)","-20.22","----","2014-12-17T15:02Z","85.18","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Yaireska Collado (GSFC)"," Detail"
"2014-12-19T20:00Z(-7.0h, +5.0h)","-32.22","70.0","2014-12-17T23:20Z","76.88","Max Kp Range: 4.0 - 6.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Karin Muglach (GSFC)"," Detail"
"2014-12-19T13:00Z","-39.22","----","2014-12-18T00:33Z","75.67","Max Kp Range: 2.0 - 4.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Yaireska Collado (GSFC)"," Detail"
"2014-12-19T21:00Z","-31.22","----","2014-12-18T02:10Z","74.05","----","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2014-12-20T15:00Z","-13.22","----","2014-12-18T21:29Z","54.73","Max Kp Range: -- - 5.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-12-20T00:10Z","-28.05","70.0","---","---","Max Kp Range: 3.33333 - 5.25"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-12-19T20:00Z","-32.22","----","2014-12-21T00:27Z","3.77","----","WSA-ENLIL + Cone (KSWC) ","RWC Jeju (KSWC)"," Detail"
"2014-07-13T04:00Z","----","----","2014-07-10T02:00Z","74.00","----","WSA-ENLIL + Cone (KSWC) ","RWC Jeju (KSWC)"," Detail"
"2014-07-13T01:23Z","----","----","---","---","Max Kp Range: 4.0 - 6.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-07-12T22:46Z","----","----","2014-07-18T15:55Z","-137.15","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Jenna Zink (GMU)"," Detail"
"2014-07-12T13:00Z","----","----","2014-07-09T08:50Z","76.17","----","WSA-ENLIL + Cone (KSWC) ","RWC Jeju (KSWC)"," Detail"
"2014-07-12T11:00Z","----","----","---","---","Max Kp Range: 2.0 - 4.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-07-12T09:00Z","----","----","2014-07-18T15:55Z","-150.92","Max Kp Range: 2.0 - 4.0","WSA-ENLIL + Cone (GSFC SWRC) ","Jenna Zink (GMU)"," Detail"
"2014-06-28T14:00Z(-7.0h, +7.0h)","-28.00","20.0","2014-06-26T14:15Z","75.75","Max Kp Range: 2.0 - 4.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-06-28T14:00Z","-28.00","20.0","---","---","Max Kp Range: 2.0 - 4.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-06-24T12:00Z(-12.0h, +12.0h)","----","----","2014-06-21T14:22Z","69.63","Max Kp Range: -- - 5.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-06-24T20:00Z(-7.0h, +7.0h)","----","----","2014-06-21T19:36Z","72.40","Max Kp Range: 2.0 - 3.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-06-24T11:00Z","----","----","2014-06-22T02:00Z","57.00","----","WSA-ENLIL + Cone (KSWC) ","RWC Jeju (KSWC)"," Detail"
"2014-06-24T14:20Z","----","----","---","---","Max Kp Range: 2.0 - 4.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-06-22T18:00Z(-7.0h, +7.0h)","-28.00","----","2014-06-20T00:18Z","93.70","Max Kp Range: 5.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-06-22T15:00Z","-31.00","----","2014-06-20T01:22Z","92.63","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-06-24T00:00Z(-6.0h, +6.0h)","2.00","----","2014-06-20T08:32Z","85.47","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-06-22T07:00Z(-7.0h, +7.0h)","-39.00","----","2014-06-20T15:00Z","79.00","----","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2014-06-22T21:00Z(-2.0h, +2.0h)","-25.00","----","2014-06-20T21:38Z","72.37","Max Kp Range: 0.7 - 1.0Dst min. in nT: -18 Dst min. time: 2014-06-23T02:00Z ","Rice-ENLIL Dst ","Ramkumar Bala (Rice)"," Detail"
"2014-06-22T16:12Z(-5.4h, +7.6h)","-29.80","----","2014-06-20T22:59Z","71.02","Max Kp Range: 3.0 - 7.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-06-23T00:00Z","-22.00","----","2014-06-21T02:00Z","68.00","----","WSA-ENLIL + Cone (KSWC) ","RWC Jeju (KSWC)"," Detail"
"2014-06-22T21:18Z","-24.70","----","---","---","Max Kp Range: 2.9 - 4.75"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-06-15T06:00Z(-6.0h, +6.0h)","-47.67","----","2014-06-13T13:00Z","88.67","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-06-16T06:00Z(-7.0h, +7.0h)","-23.67","----","2014-06-13T18:45Z","82.92","----","WSA-ENLIL + Cone (GSFC SWRC) ","Anna Chulaki (CCMC)"," Detail"
"2014-06-15T18:00Z","-35.67","----","---","---","----"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-06-13T16:00Z(-7.0h, +7.0h)","----","----","2014-06-10T18:47Z","69.22","Max Kp Range: 2.0 - 4.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-06-15T12:24Z(-28.0h, +31.5h)","----","----","2014-06-10T19:49Z","112.58","Max Kp Range: -- - 7.0","COMESEP ","Leila Mays (GSFC)"," Detail"
"2014-06-13T06:00Z(-6.0h, +6.0h)","----","----","2014-06-10T21:26Z","56.57","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-06-14T09:02Z(-9.5h, +18.63h)","----","----","2014-06-11T10:49Z","70.22","Max Kp Range: -- - 5.0","COMESEP ","Leila Mays (GSFC)"," Detail"
"2014-06-12T20:28Z(-3.07h, +3.07h)","----","----","2014-06-11T14:59Z","29.48","Max Kp Range: 4.0 - 7.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-06-13T10:00Z","----","----","2014-06-12T17:25Z","16.58","Max Kp Range: -- - 4.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-06-13T12:00Z","----","----","2014-06-12T20:06Z","15.90","----"," WSA-ENLIL + Cone ","Met Office (Met Office)"," Detail"
"2014-06-13T19:07Z","----","----","---","---","Max Kp Range: 3.0 - 5.4"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-06-08T00:00Z(-7.0h, +7.0h)","7.85","----","2014-06-05T18:16Z","45.88","----","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-06-07T20:56Z(-6.82h, +8.1h)","4.78","----","2014-06-05T20:10Z","43.98","Max Kp Range: 3.0 - 6.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-06-07T22:28Z","6.32","----","---","---","Max Kp Range: 3.0 - 6.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-04-24T16:30Z(-13.0h, +13.0h)","----","----","2014-04-22T18:00Z","46.50","----"," SAO Crowdsource ","Michael Stevens (SAO)"," Detail"
"2014-04-24T16:30Z","----","----","---","---","----"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-04-20T13:00Z","2.63","----","2014-04-18T19:23Z","38.98","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-04-21T12:00Z(-12.0h, +12.0h)","25.63","----","2014-04-18T20:02Z","38.33","Max Kp Range: -- - 6.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-04-20T05:07Z(-4.03h, +6.13h)","-5.25","----","2014-04-18T21:06Z","37.27","Max Kp Range: 4.0 - 8.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Karin Muglach (GSFC)"," Detail"
"2014-04-20T09:09Z(-7.0h, +7.0h)","-1.22","----","2014-04-18T21:37Z","36.75","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Karin Muglach (GSFC)"," Detail"
"2014-04-20T15:49Z","5.45","----","---","---","Max Kp Range: 4.0 - 6.25"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-12-17T06:00Z(-6.0h, +6.0h)","","30.0","2014-12-15T05:45Z","48.25","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2014-12-17T06:00Z","","30.0","---","---","Max Kp Range: 3.0 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-04-04T09:21Z(-7.0h, +7.0h)","-24.32","----","2014-04-02T22:27Z","59.22","Max Kp Range: 5.0 - 7.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-04-04T19:01Z(-10.0h, +6.3h)","-14.65","----","2014-04-03T03:21Z","54.32","Max Kp Range: 3.0 - 7.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-04-05T10:00Z","0.33","----","2014-04-03T07:27Z","50.22","----"," WSA-ENLIL + Cone ","RWC Jeju (KSWC)"," Detail"
"2014-04-05T00:00Z(-9.0h)","-9.67","----","2014-04-03T12:23Z","45.28","Max Kp Range: -- - 5.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-04-05T00:04Z","-9.60","----","---","---","Max Kp Range: 4.0 - 6.33333"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-04-05T10:00Z","0.33","----","2014-04-03T22:35Z","35.08","Dst min. in nT: -158 Dst min. time: 2014-04-05T13:00Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail"
"2014-04-05T12:00Z(-12.0h, +12.0h)","2.33","----","2014-04-02T10:37Z","71.05","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-04-05T04:50Z(-7.0h, +7.0h)","-4.83","----","2014-04-02T15:00Z","66.67","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-04-05T03:00Z","-6.67","----","2014-04-03T00:30Z","57.17","Max Kp Range: 4.0 - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-04-05T06:36Z","-3.07","----","---","---","Max Kp Range: 3.5 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-04-02T06:00Z","----","----","2014-03-31T00:30Z","53.50","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-04-03T00:00Z","----","----","2014-03-31T09:09Z","62.85","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-04-02T00:00Z(-7.0h, +7.0h)","----","----","2014-03-31T16:43Z","31.28","Max Kp Range: 2.0 - 3.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-04-02T10:00Z","----","----","---","---","Max Kp Range: 2.0 - 4.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-04-02T00:00Z(-7.0h, +7.0h)","----","----","2014-03-29T23:45Z","72.25","----","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-04-02T06:00Z","----","----","2014-03-31T00:30Z","53.50","Max Kp Range: 3.0 - 4.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-04-01T21:00Z","----","----","2014-03-31T02:37Z","42.38","----"," WSA-ENLIL + Cone ","RWC Jeju (KSWC)"," Detail"
"2014-04-02T04:30Z","----","----","2014-03-31T15:00Z","37.50","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-04-02T06:27Z","----","----","2014-03-31T16:22Z","38.08","----"," Expansion Speed Prediction Model ","Alisson Dallago (INPE)"," Detail"
"2014-04-01T21:30Z(-1.0h, +1.0h)","----","----","2014-04-01T22:49Z","-1.32","Max Kp Range: 3.0 - 4.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-04-02T01:54Z","----","----","---","---","Max Kp Range: 3.0 - 4.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-04-01T05:00Z","----","----","2014-03-29T12:34Z","64.43","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-04-01T15:00Z","----","----","2014-03-30T00:30Z","62.50","Max Kp Range: 3.0 - 4.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-04-01T12:00Z","----","----","2014-03-30T04:09Z","55.85","----","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-04-01T10:40Z","----","----","---","---","Max Kp Range: 3.0 - 4.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-03-26T00:00Z","4.58","----","2014-02-24T12:55Z","702.50","Max Kp Range: -- - 5.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-03-25T18:31Z(-7.0h, +7.0h)","-0.90","----","2014-03-23T20:33Z","46.87","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-03-26T00:00Z","4.58","----","2014-03-24T00:30Z","42.92","Max Kp Range: -- - 4.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-03-25T22:10Z","2.75","----","---","---","Max Kp Range: 4.0 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-02-26T12:15Z","-27.92","----","2014-02-25T20:28Z","43.70","----"," Expansion Speed Prediction Model ","Leila Mays (GSFC)"," Detail"
"2014-02-26T22:15Z(-11.27h, +20.72h)","-17.92","----","2014-02-25T23:03Z","41.12","Max Kp Range: 3.0 - 6.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-02-26T22:00Z","-18.17","----","2014-02-26T00:30Z","39.67","Max Kp Range: -- - 4.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-02-27T00:00Z","-16.17","----","2014-02-26T13:19Z","26.85","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-02-26T20:07Z","-20.05","----","---","---","Max Kp Range: 3.0 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-02-22T11:26Z(-7.0h, +7.0h)","-18.57","----","2014-02-20T01:14Z","76.77","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-02-23T01:00Z","-5.00","----","2014-02-20T09:37Z","68.38","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-02-23T00:00Z","-6.00","----","2014-02-20T12:30Z","65.50","Max Kp Range: 3.0 - 4.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-02-22T12:20Z(-12.58h, +13.18h)","-17.67","----","2014-02-20T15:30Z","62.50","Max Kp Range: 3.0 - 5.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-02-22T18:11Z","-11.82","----","---","---","Max Kp Range: 3.33333 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-02-20T20:00Z(-12.0h, +12.0h)","17.17","----","2014-02-18T10:05Z","40.75","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-02-21T01:05Z(-7.0h, +7.0h)","22.25","----","2014-02-18T20:38Z","30.20","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-02-20T16:29Z(-28.73h, +17.65h)","13.65","----","2014-02-18T20:46Z","30.07","Max Kp Range: 2.0 - 6.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-02-21T00:00Z","21.17","----","2014-02-19T00:30Z","26.33","Max Kp Range: 3.0 - 4.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-02-20T21:23Z","18.55","----","---","---","Max Kp Range: 2.66667 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-02-14T10:38Z","-25.95","----","2014-02-12T19:27Z","65.13","----","SARM ","Leila Mays (GSFC)"," Detail"
"2014-02-14T19:06Z(-7.0h, +7.0h)","-17.48","----","2014-02-12T19:51Z","64.73","Max Kp Range: 5.0 - 7.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-02-15T12:00Z","-0.58","----","2014-02-12T23:03Z","61.53","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-02-14T18:00Z(-6.0h, +6.0h)","-18.58","----","2014-02-13T00:30Z","60.08","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-02-14T23:47Z(-8.65h, +13.23h)","-12.80","----","2014-02-13T02:33Z","58.03","Max Kp Range: 3.0 - 6.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-02-14T21:30Z","-15.08","----","---","---","Max Kp Range: 4.0 - 6.33333"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-11-09T19:31Z(-7.0h, +7.0h)","-6.10","----","2014-11-08T02:53Z","46.73","Max Kp Range: 6.0 - 8.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-11-10T05:00Z","3.38","----","2014-11-08T09:25Z","40.20","Max Kp Range: 5.0 - 7.0","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2014-11-10T15:00Z(+9.0h)","13.38","----","2014-11-08T09:35Z","40.03","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-11-10T06:00Z","4.38","----","2014-11-08T12:30Z","37.12","Max Kp Range: 5.0 - 6.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-11-09T20:59Z(-8.0h, +4.8h)","-4.63","100.0","2014-11-08T13:45Z","35.87","Max Kp Range: 6.0 - 7.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-11-10T03:42Z","2.08","100.0","---","---","Max Kp Range: 5.5 - 7.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-02-07T18:00Z","1.73","----","2014-02-04T13:11Z","75.08","Max Kp Range: -- - 4.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-02-07T00:38Z(-7.0h, +7.0h)","-15.63","----","2014-02-05T00:25Z","63.85","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-02-07T09:00Z","-7.27","----","2014-02-05T01:42Z","62.57","----"," WSA-ENLIL + Cone ","RWC Jeju (KSWC)"," Detail"
"2014-02-06T20:39Z(-18.0h, +23.0h)","-19.62","----","2014-02-05T02:38Z","61.63","Max Kp Range: 2.0 - 5.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-02-07T06:04Z","-10.20","----","---","---","Max Kp Range: 2.5 - 4.66667"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-02-04T17:00Z","----","----","2014-02-01T11:25Z","77.58","Max Kp Range: -- - 3.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-02-03T16:42Z(-7.0h, +7.0h)","----","----","2014-02-01T13:45Z","50.95","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-02-03T17:20Z(-6.0h, +9.1h)","----","----","2014-02-02T02:44Z","38.60","Max Kp Range: 3.0 - 6.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-02-04T01:00Z","----","----","---","---","Max Kp Range: 3.5 - 5.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-02-02T12:00Z","-11.30","----","2014-01-30T21:49Z","73.48","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-02-02T07:49Z(-7.0h, +7.0h)","-15.48","----","2014-01-31T05:09Z","66.15","Max Kp Range: 4.0 - 6.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-02-04T02:28Z(-40.0h, +80.0h)","27.17","----","2014-01-31T08:16Z","63.03","----","COMESEP ","Andy Devos (SIDC)"," Detail"
"2014-02-02T05:44Z(-11.4h, +10.0h)","-17.57","----","2014-01-31T15:47Z","55.52","Max Kp Range: 4.0 - 6.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-02-02T04:00Z","-19.30","----","2014-01-31T17:22Z","53.93","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-02-02T16:00Z","-7.30","----","---","---","Max Kp Range: 4.0 - 5.66667"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-01-16T21:09Z(-7.0h, +7.0h)","-44.97","----","2014-01-14T17:41Z","96.43","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-01-17T13:00Z","-29.12","----","2014-01-14T19:43Z","94.40","Max Kp Range: -- - 4.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-01-18T12:00Z(-12.0h, +12.0h)","-6.12","----","2014-01-15T10:41Z","79.43","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-01-17T15:23Z","-26.73","----","---","---","Max Kp Range: 3.0 - 4.5"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2014-01-09T19:26Z(-10.0h, +10.0h)","-0.10","----","2014-01-07T21:00Z","46.53","----"," STOA ","Leila Mays (GSFC)"," Detail"
"2014-01-09T00:38Z(-7.0h, +7.0h)","-18.90","----","2014-01-08T00:41Z","42.85","Max Kp Range: 6.0 - 8.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-01-09T08:00Z","-11.53","----","2014-01-08T01:31Z","42.02","Max Kp Range: 6.0 - 7.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2014-01-08T22:00Z","-21.53","----","2014-01-08T03:17Z","40.25","Dst min. in nT: -146 Dst min. time: 2014-01-09T11:00Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail"
"2014-01-09T00:17Z(-6.9h, +9.2h)","-19.25","----","2014-01-08T04:11Z","39.35","Max Kp Range: 6.0 - 8.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2014-01-09T04:30Z(-2.5h, +2.5h)","-15.03","----","2014-01-08T05:02Z","38.50","Max Kp Range: 5.0 - 8.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2014-01-08T12:30Z","-31.03","----","2014-01-08T05:58Z","37.57","----"," ESA ","Leila Mays (GSFC)"," Detail"
"2014-01-09T12:00Z(-7.0h, +7.0h)","-7.53","----","2014-01-08T06:32Z","37.00","----"," WSA-ENLIL + Cone ","RWC Jeju (KSWC)"," Detail"
"2014-01-09T04:00Z(-6.0h, +6.0h)","-15.53","----","2014-01-08T09:42Z","33.83","----","DBM ","Manuela Temmer (UNIGRAZ)"," Detail"
